Strompreis_2050_CO2frei;Erdgaspreis_2050;Oelpreis_2050;Biomassepreis_2050;Wasserstoffpreis_2050;Synthetische_Kraftstoffe_2050
80,35574991;20,34;28,49;25;74;120,22
93,71883219;20,34;28,49;25;74;120,22
107,7387101;20,34;28,49;25;74;120,22
112,1279308;20,34;28,49;25;74;120,22
105,1005491;20,34;28,49;25;74;120,22
95,45101913;20,34;28,49;25;74;120,22
85,74397316;20,34;28,49;25;74;120,22
78,04364169;20,34;28,49;25;74;120,22
83,07640551;20,34;28,49;25;74;120,22
88,00085471;20,34;28,49;25;74;120,22
80,76129466;20,34;28,49;25;74;120,22
76,37997305;20,34;28,49;25;74;120,22
80,82767412;20,34;28,49;25;74;120,22
93,55057835;20,34;28,49;25;74;120,22
104,8060855;20,34;28,49;25;74;120,22
113,3942598;20,34;28,49;25;74;120,22
128,9601542;20,34;28,49;25;74;120,22
144,027631;20,34;28,49;25;74;120,22
156,4357438;20,34;28,49;25;74;120,22
152,5957563;20,34;28,49;25;74;120,22
157,7119695;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
117,0568981;20,34;28,49;25;74;120,22
106,7145469;20,34;28,49;25;74;120,22
103,2318694;20,34;28,49;25;74;120,22
91,65108328;20,34;28,49;25;74;120,22
89,39692303;20,34;28,49;25;74;120,22
88,9457796;20,34;28,49;25;74;120,22
86,56174102;20,34;28,49;25;74;120,22
91,67795772;20,34;28,49;25;74;120,22
110,4505574;20,34;28,49;25;74;120,22
119,7124632;20,34;28,49;25;74;120,22
128,0882659;20,34;28,49;25;74;120,22
156,2107753;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
138,105198;20,34;28,49;25;74;120,22
112,2550913;20,34;28,49;25;74;120,22
112,2299716;20,34;28,49;25;74;120,22
114,8292057;20,34;28,49;25;74;120,22
122,485771;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
126,9022598;20,34;28,49;25;74;120,22
120,3609804;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
87,04547275;20,34;28,49;25;74;120,22
