Strompreis_2040;Erdgaspreis_2040;Oelpreis_2040;Biomassepreis_2040;Wasserstoffpreis_2040;Synthetische_Kraftstoffe_2040
136,4669807;20,34;29,03;25;95;157,22
147,43105;20,34;29,03;25;95;157,22
153,6128859;20,34;29,03;25;95;157,22
153,0613046;20,34;29,03;25;95;157,22
155,2338707;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
140,0103621;20,34;29,03;25;95;157,22
154,2795604;20,34;29,03;25;95;157,22
161,1646648;20,34;29,03;25;95;157,22
162,1192233;20,34;29,03;25;95;157,22
153,1995216;20,34;29,03;25;95;157,22
137,3591481;20,34;29,03;25;95;157,22
117,7818662;20,34;29,03;25;95;157,22
107,3440276;20,34;29,03;25;95;157,22
99,8024275;20,34;29,03;25;95;157,22
88,89950041;20,34;29,03;25;95;157,22
86,08766279;20,34;29,03;25;95;157,22
84,73569479;20,34;29,03;25;95;157,22
83,24999389;20,34;29,03;25;95;157,22
87,57164347;20,34;29,03;25;95;157,22
103,83107;20,34;29,03;25;95;157,22
116,2041223;20,34;29,03;25;95;157,22
127,1057575;20,34;29,03;25;95;157,22
150,6691436;20,34;29,03;25;95;157,22
146,1459588;20,34;29,03;25;95;157,22
133,8729003;20,34;29,03;25;95;157,22
114,7425932;20,34;29,03;25;95;157,22
116,2754089;20,34;29,03;25;95;157,22
123,836007;20,34;29,03;25;95;157,22
122,5452754;20,34;29,03;25;95;157,22
137,7035257;20,34;29,03;25;95;157,22
153,1377932;20,34;29,03;25;95;157,22
159,8546062;20,34;29,03;25;95;157,22
160,8009122;20,34;29,03;25;95;157,22
151,106991;20,34;29,03;25;95;157,22
134,5168057;20,34;29,03;25;95;157,22
122,7135789;20,34;29,03;25;95;157,22
114,3834432;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
90,15848482;20,34;29,03;25;95;157,22
82,01156018;20,34;29,03;25;95;157,22
83,40849531;20,34;29,03;25;95;157,22
93,48852284;20,34;29,03;25;95;157,22
108,6022924;20,34;29,03;25;95;157,22
114,7936137;20,34;29,03;25;95;157,22
128,1634966;20,34;29,03;25;95;157,22
118,2353649;20,34;29,03;25;95;157,22
105,2182808;20,34;29,03;25;95;157,22
96,2725012;20,34;29,03;25;95;157,22
99,8973542;20,34;29,03;25;95;157,22
92,76229538;20,34;29,03;25;95;157,22
94,301082;20,34;29,03;25;95;157,22
113,1868096;20,34;29,03;25;95;157,22
128,6776134;20,34;29,03;25;95;157,22
136,9473562;20,34;29,03;25;95;157,22
140,6237677;20,34;29,03;25;95;157,22
128,4451576;20,34;29,03;25;95;157,22
113,7136572;20,34;29,03;25;95;157,22
103,4800083;20,34;29,03;25;95;157,22
94,66366931;20,34;29,03;25;95;157,22
84,83259262;20,34;29,03;25;95;157,22
73,87439248;20,34;29,03;25;95;157,22
71,49707501;20,34;29,03;25;95;157,22
69,59178698;20,34;29,03;25;95;157,22
70,29981417;20,34;29,03;25;95;157,22
72,91303388;20,34;29,03;25;95;157,22
83,64786975;20,34;29,03;25;95;157,22
98,70992855;20,34;29,03;25;95;157,22
109,6080656;20,34;29,03;25;95;157,22
124,355216;20,34;29,03;25;95;157,22
123,893821;20,34;29,03;25;95;157,22
114,1974618;20,34;29,03;25;95;157,22
104,9290133;20,34;29,03;25;95;157,22
106,3642597;20,34;29,03;25;95;157,22
104,500898;20,34;29,03;25;95;157,22
94,74632251;20,34;29,03;25;95;157,22
114,8053299;20,34;29,03;25;95;157,22
123,3191026;20,34;29,03;25;95;157,22
129,8310095;20,34;29,03;25;95;157,22
136,2002033;20,34;29,03;25;95;157,22
126,7727873;20,34;29,03;25;95;157,22
110,8172722;20,34;29,03;25;95;157,22
101,1406115;20,34;29,03;25;95;157,22
95,61253499;20,34;29,03;25;95;157,22
84,12906506;20,34;29,03;25;95;157,22
73,68953588;20,34;29,03;25;95;157,22
69,95297604;20,34;29,03;25;95;157,22
67,18451754;20,34;29,03;25;95;157,22
66,35159164;20,34;29,03;25;95;157,22
69,09958603;20,34;29,03;25;95;157,22
78,17242585;20,34;29,03;25;95;157,22
91,36448413;20,34;29,03;25;95;157,22
102,2443848;20,34;29,03;25;95;157,22
117,4017776;20,34;29,03;25;95;157,22
123,4216533;20,34;29,03;25;95;157,22
122,8687559;20,34;29,03;25;95;157,22
124,745271;20,34;29,03;25;95;157,22
124,0129538;20,34;29,03;25;95;157,22
118,222957;20,34;29,03;25;95;157,22
112,0991878;20,34;29,03;25;95;157,22
115,0481252;20,34;29,03;25;95;157,22
119,3820077;20,34;29,03;25;95;157,22
124,4896839;20,34;29,03;25;95;157,22
126,2623207;20,34;29,03;25;95;157,22
119,0355733;20,34;29,03;25;95;157,22
106,4777739;20,34;29,03;25;95;157,22
97,37143434;20,34;29,03;25;95;157,22
89,3613786;20,34;29,03;25;95;157,22
81,44289399;20,34;29,03;25;95;157,22
76,5868991;20,34;29,03;25;95;157,22
75,2937777;20,34;29,03;25;95;157,22
71,24989718;20,34;29,03;25;95;157,22
72,80737586;20,34;29,03;25;95;157,22
76,85799103;20,34;29,03;25;95;157,22
83,62998173;20,34;29,03;25;95;157,22
90,9600978;20,34;29,03;25;95;157,22
102,0451604;20,34;29,03;25;95;157,22
115,7959875;20,34;29,03;25;95;157,22
122,3484009;20,34;29,03;25;95;157,22
121,705424;20,34;29,03;25;95;157,22
121,990565;20,34;29,03;25;95;157,22
121,5652125;20,34;29,03;25;95;157,22
116,0187916;20,34;29,03;25;95;157,22
106,0703188;20,34;29,03;25;95;157,22
104,8581877;20,34;29,03;25;95;157,22
104,8242851;20,34;29,03;25;95;157,22
116,6080789;20,34;29,03;25;95;157,22
129,2623712;20,34;29,03;25;95;157,22
131,1234398;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
0;20,34;29,03;25;95;157,22
