Strompreis_2030;Erdgaspreis_2030;Oelpreis_2030;Biomassepreis_2030;Wasserstoffpreis_2030;Synthetische_Kraftstoffe_2030;Steinkohlepreis_2030;Braunkohlepreis_2030;Strompreis_2030_brain
62,7393742;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,25
67,05955819;20,12;30,09;25;121;206,22;5,392819567;8,798929188;107,98
75,9162645;20,12;30,09;25;121;206,22;5,392819567;8,798929188;110,28
92,48412856;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,48
100,9318786;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,32
103,1857031;20,12;30,09;25;121;206,22;5,392819567;8,798929188;91,87
104,5540241;20,12;30,09;25;121;206,22;5,392819567;8,798929188;85,91
104,1890055;20,12;30,09;25;121;206,22;5,392819567;8,798929188;84,47
100,440552;20,12;30,09;25;121;206,22;5,392819567;8,798929188;93,53
89,38300678;20,12;30,09;25;121;206,22;5,392819567;8,798929188;99,83
81,95447098;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,80
81,99251243;20,12;30,09;25;121;206,22;5,392819567;8,798929188;110,01
89,33141277;20,12;30,09;25;121;206,22;5,392819567;8,798929188;109,54
94,08604318;20,12;30,09;25;121;206,22;5,392819567;8,798929188;107,86
94,41088964;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,28
86,58143493;20,12;30,09;25;121;206,22;5,392819567;8,798929188;101,51
79,08974327;20,12;30,09;25;121;206,22;5,392819567;8,798929188;94,31
75,43757472;20,12;30,09;25;121;206,22;5,392819567;8,798929188;87,26
71,39097423;20,12;30,09;25;121;206,22;5,392819567;8,798929188;86,96
65,9330181;20,12;30,09;25;121;206,22;5,392819567;8,798929188;86,96
64,05817674;20,12;30,09;25;121;206,22;5,392819567;8,798929188;86,51
61,03995936;20,12;30,09;25;121;206,22;5,392819567;8,798929188;87,27
58,55358312;20,12;30,09;25;121;206,22;5,392819567;8,798929188;86,96
58,50705774;20,12;30,09;25;121;206,22;5,392819567;8,798929188;85,18
