"2143,852615492787"
"2202,6383039714237"
"2183,7915710195175"
"2133,630197801738"
"2128,770897779229"
"2053,6646908546472"
"1945,1746562693288"
"1927,8704189455984"
"1903,2512373704233"
"1837,1698181837119"
"1843,1599345006416"
"1797,7592353619013"
"1722,1612514201356"
"1604,1490695545144"
"1556,3815767901986"
"1452,908897700602"
"1260,2891481463748"
"1225,1919573132236"
"1215,4567318432216"
"1236,7228146190298"
"1282,955790197191"
"1433,0244364980426"
"1890,099778956359"
"2110,591848583392"
"2154,3114111696946"
"2213,4765749660646"
"2194,5165975507134"
"2144,0963074145684"
"2139,2113136869993"
"2063,6220784853695"
"1954,3984216324397"
"1937,0054649026376"
"1912,3772189375047"
"1845,8814390454736"
"1852,0717579901393"
"1806,5880158361228"
"1730,5916352739723"
"1611,8572493665724"
"1563,9819921968806"
"1460,0417872095613"
"1266,3625065587503"
"1190,5105055970253"
"1180,7545285424342"
"1201,2958772442794"
"1246,25937869025"
"1393,1635762920941"
"1836,9891921093567"
"2051,2790960684483"
"2093,117272757958"
"2150,13167776186"
"2131,8648083004036"
"2083,0012386691355"
"2078,2185961721902"
"2005,4098676028707"
"1900,3724011611948"
"1883,5037615653166"
"1858,8945203266535"
"1794,7258528153661"
"1799,6982612342706"
"1754,685394861145"
"1680,9264493423673"
"1566,3367614647896"
"1519,158640306914"
"1417,9261413229433"
"1230,6594735074223"
"994,8869962762025"
"1001,7669822873338"
"1015,4367395520766"
"1067,0957104032682"
"1212,0920876659575"
"1585,116507091633"
"1837,1863141564536"
"1956,9322537916996"
"1986,4607979250495"
"1965,366990918208"
"1904,3681169175452"
"1864,4456345681956"
"1803,367134818012"
"1723,6821182100234"
"1727,9808455501588"
"1677,1760461287415"
"1648,5118156655544"
"1631,8659253350686"
"1569,7759512057182"
"1465,937613186579"
"1354,3338478222454"
"1262,9609007420497"
"1166,7736473840532"
"1036,9012213147478"
"859,7062583505933"
"881,7537647629935"
"904,0710463518238"
"946,5911726017848"
"1104,2888881173324"
"1425,6526850589885"
"1648,6904753315475"
"1776,2579614892434"
"1797,160790075126"
"1752,4776081330554"
"1694,1396417321641"
"1632,6747320996858"
"1581,738996967858"
"1537,9279473542001"
