HA4;Prozessgas;T24;Elektromobilitaet_PKW
0,371448;0,198921;0,241235;65068,49315
0,350404;0,196131;0,23288;65068,49315
0,324694;0,194348;0,230792;65068,49315
0,301271;0,192398;0,23027;65068,49315
0,295993;0,190863;0,230792;65068,49315
0,294603;0,179727;0,233402;65068,49315
0,290937;0,174787;0,242801;65068,49315
0,285531;0,162363;0,251156;65068,49315
0,273707;0,149436;0,256899;65068,49315
0,230542;0,139407;0,256377;65068,49315
0,18752;0,13359;0,250633;65068,49315
0,173737;0,124855;0,229225;65068,49315
0,171798;0,112091;0,197374;65068,49315
0,178172;0,112039;0,145159;65068,49315
0,188655;0,108994;0,126439;65068,49315
0,195514;0,105472;0,135085;65068,49315
0,203825;0,107333;0,137246;65068,49315
0,206838;0,111657;0,148593;65068,49315
0,221102;0,132961;0,183175;65068,49315
0,249277;0,15819;0,273411;65068,49315
0,347454;0,188254;0,273411;65068,49315
0,431179;0,196219;0,265846;65068,49315
0,445976;0,19929;0,262064;65068,49315
0,423029;0,200333;0,256661;65068,49315
0,397686;0,198921;0,249636;65068,49315
0,375156;0,196131;0,240991;65068,49315
0,347629;0,194348;0,23883;65068,49315
0,322552;0,192398;0,238289;65068,49315
0,316901;0,190863;0,23883;65068,49315
0,315413;0,179727;0,241531;65068,49315
0,311488;0,174787;0,251257;65068,49315
0,3057;0,162363;0,259903;65068,49315
0,293041;0,149436;0,265846;65068,49315
0,246827;0,139407;0,265306;65068,49315
0,200765;0,13359;0,259362;65068,49315
0,186009;0,124855;0,237209;65068,49315
0,183933;0,112091;0,204248;65068,49315
0,190757;0,112039;0,150214;65068,49315
0,235538;0,108994;0,157789;65068,49315
0,239361;0,105472;0,16207;65068,49315
0,240541;0,107333;0,165128;65068,49315
0,24757;0,111657;0,177972;65068,49315
0,252502;0,132961;0,213444;65068,49315
0,30629;0,15819;0,310686;65068,49315
0,42716;0,188254;0,310074;65068,49315
0,521549;0,196219;0,293561;65068,49315
0,528486;0,19929;0,298454;65068,49315
0,520229;0,200333;0,293561;65068,49315
0,495941;0,198921;0,284388;65068,49315
0,486381;0,196131;0,276437;65068,49315
0,451834;0,194348;0,273991;65068,49315
0,410832;0,192398;0,267875;65068,49315
0,417375;0,190863;0,267263;65068,49315
0,397979;0,179727;0,26971;65068,49315
0,370207;0,174787;0,280107;65068,49315
0,365417;0,162363;0,28928;65068,49315
0,339445;0,149436;0,29295;65068,49315
0,288976;0,139407;0,291115;65068,49315
0,237822;0,13359;0,281941;65068,49315
0,228097;0,124855;0,258701;65068,49315
0,230875;0,112091;0,229956;65068,49315
0,240171;0,112039;0,169409;65068,49315
0,237798;0,108994;0,157505;65068,49315
0,241657;0,105472;0,161778;65068,49315
0,242848;0,107333;0,16483;65068,49315
0,249946;0,111657;0,177651;65068,49315
0,254924;0,132961;0,213059;65068,49315
0,309229;0,15819;0,310125;65068,49315
0,431258;0,188254;0,309515;65068,49315
0,526552;0,196219;0,293032;65068,49315
0,533556;0,19929;0,297916;65068,49315
0,52522;0,200333;0,293032;65068,49315
0,500699;0,198921;0,283875;65068,49315
0,491048;0,196131;0,275938;65068,49315
0,456169;0,194348;0,273496;65068,49315
