"1398,8837008852129"
"1407,8904139435472"
"1427,6643154102771"
"1501,3266398476842"
"1716,6910769864535"
"2248,3744352083295"
"2533,317008283995"
"2640,761778168723"
"2680,246295052394"
"2653,5074553925224"
"2578,2392408810383"
"2524,4902279843973"
"2457,6482415421183"
"2366,969708974071"
"2368,938693776499"
"2309,380056647831"
"2289,0720555039443"
"2271,638306632506"
"2200,4456968085697"
"2082,7230488007217"
"1951,7562322335853"
"1819,667374167501"
"1671,3094781372624"
"1459,85661346823"
"1304,2367384170284"
"1319,666880910773"
"1318,505151418246"
"1347,6638662912476"
"1466,4176228450642"
"1940,8113931254875"
"2178,0877726457393"
"2099,015705366339"
"2124,169361180651"
"2083,7227525245985"
"2016,4808923598391"
"2038,8663510219717"
"1961,212312887243"
"1913,5804298302082"
"1842,5344288830697"
"1783,32638486505"
"1713,5894538165112"
"1742,2160735774733"
"1674,7809096902529"
"1688,8783228108591"
"1700,4009045772887"
"1648,123362094147"
"1569,3868275551015"
"1304,5642418032426"
"1337,5897592269428"
"1352,4179955199847"
"1390,3510386379332"
"1459,9604642883992"
"1527,5070963733656"
"2089,0429083300073"
"1945,8417172030763"
"1974,1495138352905"
"1913,5838566283705"
"1864,3750857647547"
"1788,2667568481809"
"1787,9230641230872"
"1715,4661153178695"
"1689,2710206865145"
"1662,0049320682392"
"1728,9043951757099"
"1744,5986286694742"
"1838,389591153954"
"1865,427408444536"
"1849,0021823478542"
"1865,4362858499426"
"1887,5711125900548"
"1717,23807144883"
"1619,1957462387436"
"1599,4733722945102"
"1582,2953641766744"
"1601,0598190684568"
"1659,8992903653257"
"1874,6490701356004"
"2508,3947677769793"
"2728,480897247159"
"2718,1910243502384"
"2772,776850680738"
"2744,5878991275"
"2673,338515729565"
"2677,714758302328"
"2598,5047054426527"
"2491,5495067502516"
"2471,9345075238452"
"2445,7400911924433"
"2386,882617759666"
"2397,3680007805388"
"2335,695663482935"
"2264,5183192721825"
"2142,0468331442576"
"2063,607680823639"
"1937,8683652831896"
"1663,5285511843142"
"1607,0277716994408"
"1589,8395585156045"
"1608,726536909157"
"1667,8432906336748"
"1883,3911255053638"
"2520,3605843120076"
"2741,515948638603"
"2731,3287778430295"
"2786,297050927811"
"2757,928553803078"
"2686,2952084469753"
"2690,702234556862"
"2610,94430809433"
"2503,1905707429423"
"2483,469186655373"
"2457,320030266705"
"2398,059468595189"
"2408,85916682924"
"2347,0853051970116"
"2275,5377813763353"
"2152,2644741283207"
"2073,5989592324822"
"1947,2974198620159"
"1671,3651146996601"
"1376,7164054397115"
"1385,2568219545078"
"1404,776670578215"
"1477,2476147374352"
"1690,0861048738084"
"2212,783601350652"
"2491,584638013433"
"2595,263393459384"
"2634,0801011868143"
"2608,076823688937"
"2534,6372252709843"
"2481,891167571787"
"2416,973072005689"
"2328,783768265822"
"2330,4571227387423"
"2271,7281231764177"
"2252,178534484882"
"2234,3993711893404"
"2164,296953380077"
"2049,2739891839105"
"1921,506272100603"
"1791,4072281012536"
"1644,751469604102"
"1436,7087927231885"
"1213,6578797214618"
"1243,5497609591298"
"1270,5524012402664"
"1332,9317009361334"
"1559,5887321331152"
"2029,1427386058958"
"2281,455507516006"
"2405,12152350262"
"2423,7739712091734"
"2373,420767064468"
"2304,6913323530744"
"2229,1169915811847"
"2174,04446031075"
"2128,0577581981324"
"2116,255862916044"
"2084,3600421827464"
"2097,3184709801712"
"2076,7285462172335"
"2034,0887202920105"
"1928,0369721854404"
"1817,041749692156"
"1681,111740086004"
"1509,03546396204"
"1316,645594068943"
"1028,6176743553372"
"1048,728774176552"
"1070,1521218167782"
"1122,5450232687317"
"1316,3394959054417"
"1704,4461226898438"
"1910,0859079844122"
"1999,6585727151798"
"2014,1255906707459"
"1978,7587435751534"
"1927,3735343460576"
"1869,0298598406407"
"1828,6714938563946"
"1795,0145765510517"
"1785,489560767272"
"1752,2672528287237"
"1759,7549377595237"
"1735,3951015036062"
"1694,2931609939446"
"1610,617011604245"
"1526,00039348774"
"1413,7945083581367"
"1267,559663926147"
"1112,677923826724"
"598,7406398066369"
"631,7623843998464"
"613,4842231863497"
"643,2602456306465"
"742,6108055776558"
"923,3471700873861"
"982,0943061479013"
"1012,1107111961139"
"1023,6851880928425"
"999,7207407636649"
"960,5014203372741"
"930,029702878725"
"896,7954051194827"
"837,7915204740359"
"803,8627234140475"
"797,1343611643015"
"809,6262262212492"
"816,7625871707328"
"822,6279237977633"
"821,1236861442989"
"809,2895425063991"
"762,9226993071354"
"674,3239355647368"
"577,5156228878961"
"573,2184495700283"
"631,4405056525159"
"628,769821981655"
"660,3289053012596"
"791,7938317677008"
"1019,3378040108721"
"955,772454855179"
"957,260317974976"
"919,6455877531869"
"895,0520737345716"
"851,9243313218075"
"836,300036659015"
"829,5539155420536"
"784,3492669175737"
"781,5353254630893"
"790,9278180505909"
"821,9956117627698"
"872,0280912174885"
"914,2413793245703"
"939,2342961559368"
"954,0690159493304"
"928,079688400134"
"840,0387725935102"
"750,4520741103265"
"959,7320102938911"
"990,0768900433433"
"997,6561390943289"
"1047,2535559301389"
"1264,9660550651845"
"1632,2814595569107"
"1836,1046120095918"
"1923,2936747919402"
"1931,393715071063"
"1846,2194942689016"
"1777,0253418383236"
"1723,5591274353733"
"1681,6957157314832"
"1640,1270096935655"
"1628,3507634535827"
"1598,1172305955388"
"1617,588720914484"
"1617,4328933709007"
"1584,8112804176776"
"1548,8146175605798"
"1484,1911818720005"
"1371,9284014582568"
"1208,0790741631167"
"1061,9670378441551"
"954,4887466397656"
"984,4033736009202"
"991,8649176677854"
"1041,1770352667543"
"1257,638459784157"
"1622,4450871050567"
"1824,937229566679"
"1911,0901764694372"
"1919,1029164626466"
"1834,9929651199236"
"1766,5943635565845"
"1713,6215889387186"
"1672,2122276384523"
"1631,0915120993184"
"1619,4204513421976"
"1589,1559456034634"
"1608,2964770512554"
"1607,7036424536"
"1575,0879209143109"
"1539,233665517389"
"1475,2234576808164"
"1363,7445924893377"
"1200,941670916484"
"1055,9784906713905"
"1183,6676758679225"
"1211,9625213411557"
"1238,071032203288"
"1298,8105189663663"
"1520,081057447177"
"1976,2585309443716"
"2221,168547530204"
"2339,464002128917"
"2357,4707345060215"
"2309,524529929916"
"2243,5821219321415"
"2170,7808786463006"
"2118,0532748528503"
"2074,024802975987"
"2062,5815356766266"
"2030,4624664900903"
"2042,5080175161554"
"2021,2740177436192"
"1978,8460142157537"
"1876,347637763002"
"1769,565158726345"
"1637,5120955496259"
"1469,699863546824"
"1283,5317645111115"
"1112,5972355715003"
"1137,2000668869296"
"1161,1132116896038"
"1218,1648290006874"
"1427,2154130231838"
"1853,2636365248993"
"2079,1851368026164"
"2183,358341251173"
"2199,5386046933672"
"2157,505050082361"
"2098,3861704524534"
"2032,3081518861675"
"1985,495743541963"
"1946,4650027849248"
"1935,967121283459"
"1903,399324772965"
"1913,5390579455259"
"1891,0595166794565"
"1849,4571309763055"
"1756,0452322514564"
"1659,7960740937917"
"1536,655459443089"
"1378,260416539521"
"1205,5521550637982"
"834,959233477207"
"855,0280402947744"
"860,274820481671"
"902,7188834077554"
"1089,4136196630704"
"1394,8518781301836"
"1568,7453905991038"
"1633,4101168221123"
"1640,076552156023"
"1579,585450628564"
"1528,6607520066448"
"1486,7528245516303"
"1455,254445871996"
"1423,9367708795564"
"1414,4429170164665"
"1383,04009573384"
"1394,3558874405567"
"1383,673090252936"
"1350,3829701397294"
"1317,0071677421802"
"1266,2666182393277"
"1172,9327731645685"
"1035,0823705560758"
"918,3159896929905"
"1081,7778085993873"
"1101,5202324174056"
"1121,9703324489456"
"1149,3673712839695"
"1285,589423713337"
"1586,4811711579428"
"1762,9367111870383"
"1823,165781418158"
"1822,3654827697676"
"1779,5324195072362"
"1772,6624595272374"
"1724,4252678161715"
"1659,2900567428842"
"1611,4792142656092"
"1549,3524351415176"
"1450,5839060333528"
"1488,578175986019"
"1462,110711352468"
"1404,0244430591708"
"1384,9165953490494"
"1370,4901486794827"
"1296,3588652505102"
"1161,2602579257427"
"1005,2055346565865"
"913,5281285620104"
"945,813705062307"
"953,9044606608048"
"1046,5323224451417"
"1199,1562481112046"
"1544,8361696397992"
"1464,6395965339393"
"1467,8236164426821"
"1468,0553585842026"
"1402,19347431378"
"1357,0645540328146"
"1334,901288860312"
"1314,640590254161"
"1252,8974993081983"
"1250,701183679132"
"1265,6854436678072"
"1308,6070080816705"
"1361,0576402548768"
"1390,68170249369"
"1412,3248339561546"
"1371,4878475041774"
"1358,9713391723003"
"1217,378158896306"
