;Electricity_2030;Electricity_brain_2030;Gas_2030;Oil_2030;Biomass_2030;Hydrogen_2030;Synthetic_fuel_2030;Hard_coal_2030;Brown_coal_2030;Electricity_brain_2040;Electricity_2040;Gas_2040;Oil_2040;Biomass_2040;Hydrogen_2040;Synthetic_fuel_2040;Electricity_brain_2050;Electricity_2050;Gas_2050;Oil_2050;Biomass_2050;Hydrogen_2050;Synthetic_fuel_2050;Hard_coal_2040;Brown_coal_2040;Hard_coal_2050;Brown_coal_2050;CO2_2030;CO2_2040;CO2_2050
81;109,0334752;94,05;20,12;30,09;25;121;206,22;5,392819567;8,798929188;94,05;128,8202372;20,34;29,03;25;95;157,22;94,05;119,8303228;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
82;100,6751915;90,95;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,95;116,9095065;20,34;29,03;25;95;157,22;90,95;107,8520819;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
83;95,35986089;89,82;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,82;108,9152487;20,34;29,03;25;95;157,22;89,82;98,50948374;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
84;95,34170658;89,61;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,61;109,2772434;20,34;29,03;25;95;157,22;89,61;98,68790892;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
85;90,96161891;90,95;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,95;104,3873066;20,34;29,03;25;95;157,22;90,95;93,2760254;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
86;89,45756204;99,47;20,12;30,09;25;121;206,22;5,392819567;8,798929188;99,47;103,716848;20,34;29,03;25;95;157,22;99,47;92,58340267;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
87;101,3460254;104,3;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,3;119,6399548;20,34;29,03;25;95;157,22;104,3;106,5795721;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
88;114,1934938;108,47;20,12;30,09;25;121;206,22;5,392819567;8,798929188;108,47;136,5447256;20,34;29,03;25;95;157,22;108,47;121,8373401;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
89;119,103508;106,12;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,12;142,3595903;20,34;29,03;25;95;157,22;106,12;126,637803;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
90;120,0568088;102,64;20,12;30,09;25;121;206,22;5,392819567;8,798929188;102,64;143,5422202;20,34;29,03;25;95;157,22;102,64;128,3302293;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
91;112,6973074;90,95;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,95;135,6403229;20,34;29,03;25;95;157,22;90,95;122,5623999;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
92;99,99435306;79,36;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,36;120,7094006;20,34;29,03;25;95;157,22;79,36;110,1577922;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
93;91,92904142;77,24;20,12;30,09;25;121;206,22;5,392819567;8,798929188;77,24;111,5920381;20,34;29,03;25;95;157,22;77,24;102,8762102;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
94;84,95805119;70,46;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,46;103,2730228;20,34;29,03;25;95;157,22;70,46;96,06620989;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
95;76,17056484;69,45;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,45;92,17338172;20,34;29,03;25;95;157,22;69,45;86,76892965;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
96;70,72312405;68,75;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,75;87,36546545;20,34;29,03;25;95;157,22;68,75;85,29091761;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
97;69,0677767;68,36;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,36;87,22756303;20,34;29,03;25;95;157,22;68,36;88,22254415;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
98;66,60477615;67,45;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,45;83,52865789;20,34;29,03;25;95;157,22;67,45;83,50640517;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
99;65,42002637;68,25;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,25;81,31138548;20,34;29,03;25;95;157,22;68,25;79,89790603;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
