;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Biomass_2045;Hydrogen_2045;Synthetic_fuel_2045;Hard_coal_2045;Brown_coal_2045
201;139,8333;0,1515;26,2587;12,4364;35,6;100;190;10000000;10000000
202;134,8048;0,1515;26,2586;12,4364;35,6;100;190;10000000;10000000
203;136,1842;0,1515;26,2586;12,4364;35,6;100;190;10000000;10000000
204;136,7233;0,1515;26,2586;12,4364;35,6;100;190;10000000;10000000
205;137,6427;0,1515;26,2586;12,4364;35,6;100;190;10000000;10000000
206;140,3337;0,1515;26,2586;12,4364;35,6;100;190;10000000;10000000
207;148,684;0,1515;26,2586;12,4364;35,6;100;190;10000000;10000000
208;176,0844;0,1515;26,2585;12,4364;35,6;100;190;10000000;10000000
209;176,0844;0,1515;26,2585;12,4364;35,6;100;190;10000000;10000000
210;176,0844;0,1515;26,2585;12,4364;35,6;100;190;10000000;10000000
211;150,7102;0,1515;26,2585;12,4364;35,6;100;190;10000000;10000000
212;146,5064;0,1515;26,2585;12,4364;35,6;100;190;10000000;10000000
213;145,8166;0,1515;26,2585;12,4364;35,6;100;190;10000000;10000000
214;142,5967;0,1515;26,2584;12,4365;35,6;100;190;10000000;10000000
215;136,2187;0,1515;26,2584;12,4365;35,6;100;190;10000000;10000000
216;136,6137;0,1515;26,2584;12,4365;35,6;100;190;10000000;10000000
217;136,2234;0,1515;26,2584;12,4365;35,6;100;190;10000000;10000000
218;134,1818;0,1515;26,2584;12,4365;35,6;100;190;10000000;10000000
219;134,8094;0,1515;26,2584;12,4365;35,6;100;190;10000000;10000000
220;137,6475;0,1515;26,2583;12,4365;35,6;100;190;10000000;10000000
221;146,2129;0,1515;26,2583;12,4365;35,6;100;190;10000000;10000000
222;176,0883;0,1515;26,2583;12,4365;35,6;100;190;10000000;10000000
223;152,8735;0,1515;26,2583;12,4365;35,6;100;190;10000000;10000000
224;142,4154;0,1516;26,2583;12,4365;35,6;100;190;10000000;10000000
225;135,671;0,1516;26,2583;12,4365;35,6;100;190;10000000;10000000
226;124,8162;0,1516;26,2582;12,4365;35,6;100;190;10000000;10000000
227;123,1167;0,1516;26,2582;12,4365;35,6;100;190;10000000;10000000
228;117,8064;0,1516;26,2582;12,4365;35,6;100;190;10000000;10000000
229;117,393;0,1516;26,2582;12,4365;35,6;100;190;10000000;10000000
230;129,1631;0,1516;26,2582;12,4365;35,6;100;190;10000000;10000000
231;142,3941;0,1516;26,2582;12,4365;35,6;100;190;10000000;10000000
232;144,2737;0,1516;26,2581;12,4365;35,6;100;190;10000000;10000000
233;142,4154;0,1516;26,2581;12,4365;35,6;100;190;10000000;10000000
234;142,2534;0,1516;26,2581;12,4365;35,6;100;190;10000000;10000000
235;131,307;0,1516;26,2581;12,4366;35,6;100;190;10000000;10000000
236;129,1631;0,1516;26,2581;12,4366;35,6;100;190;10000000;10000000
237;108,1781;0,1516;26,2581;12,4366;35,6;100;190;10000000;10000000
238;86,4258;0,1516;26,258;12,4366;35,6;100;190;10000000;10000000
239;85,0728;0,1516;26,258;12,4366;35,6;100;190;10000000;10000000
240;82,2327;0,1516;26,258;12,4366;35,6;100;190;10000000;10000000
241;81,2585;0,1516;26,258;12,4366;35,6;100;190;10000000;10000000
242;81,2585;0,1516;26,258;12,4366;35,6;100;190;10000000;10000000
243;81,2585;0,1516;26,258;12,4366;35,6;100;190;10000000;10000000
244;81,1259;0,1516;26,2579;12,4366;35,6;100;190;10000000;10000000
245;81,8323;0,1516;26,2579;12,4366;35,6;100;190;10000000;10000000
246;82,2327;0,1516;26,2579;12,4366;35,6;100;190;10000000;10000000
247;82,2327;0,1516;26,2579;12,4366;35,6;100;190;10000000;10000000
248;78,3312;0,1516;26,2579;12,4366;35,6;100;190;10000000;10000000
249;61,0373;0,1516;26,2579;12,4366;35,6;100;190;10000000;10000000
250;61,0373;0,1516;26,2578;12,4366;35,6;100;190;10000000;10000000
251;61,0373;0,1516;26,2578;12,4366;35,6;100;190;10000000;10000000
252;61,0373;0,1516;26,2578;12,4366;35,6;100;190;10000000;10000000
253;61,0373;0,1516;26,2578;12,4366;35,6;100;190;10000000;10000000
254;61,0373;0,1516;26,2578;12,4366;35,6;100;190;10000000;10000000
255;61,0373;0,1516;26,2578;12,4366;35,6;100;190;10000000;10000000
256;61,0373;0,1516;26,2577;12,4366;35,6;100;190;10000000;10000000
257;62,2713;0,1516;26,2577;12,4367;35,6;100;190;10000000;10000000
258;61,3488;0,1516;26,2577;12,4367;35,6;100;190;10000000;10000000
259;61,0373;0,1516;26,2577;12,4367;35,6;100;190;10000000;10000000
260;61,0373;0,1516;26,2577;12,4367;35,6;100;190;10000000;10000000
261;61,0373;0,1516;26,2577;12,4367;35,6;100;190;10000000;10000000
262;61,0373;0,1516;26,2576;12,4367;35,6;100;190;10000000;10000000
263;61,0373;0,1516;26,2576;12,4367;35,6;100;190;10000000;10000000
264;61,0394;0,1516;26,2576;12,4367;35,6;100;190;10000000;10000000
265;61,0394;0,1516;26,2576;12,4367;35,6;100;190;10000000;10000000
266;61,0394;0,1516;26,2576;12,4367;35,6;100;190;10000000;10000000
267;61,0394;0,1516;26,2576;12,4367;35,6;100;190;10000000;10000000
268;61,0394;0,1516;26,2575;12,4367;35,6;100;190;10000000;10000000
269;61,0394;0,1516;26,2575;12,4367;35,6;100;190;10000000;10000000
270;61,0394;0,1516;26,2575;12,4367;35,6;100;190;10000000;10000000
271;47,8939;0,1516;26,2575;12,4367;35,6;100;190;10000000;10000000
272;44,4387;0,1516;26,2575;12,4367;35,6;100;190;10000000;10000000
273;57,1637;0,1516;26,2575;12,4367;35,6;100;190;10000000;10000000
274;61,0394;0,1516;26,2574;12,4367;35,6;100;190;10000000;10000000
275;61,0394;0,1516;26,2574;12,4367;35,6;100;190;10000000;10000000
276;61,0394;0,1516;26,2574;12,4367;35,6;100;190;10000000;10000000
277;61,0394;0,1516;26,2574;12,4367;35,6;100;190;10000000;10000000
278;61,0394;0,1516;26,2574;12,4368;35,6;100;190;10000000;10000000
279;61,0394;0,1516;26,2574;12,4368;35,6;100;190;10000000;10000000
280;61,7986;0,1516;26,2573;12,4368;35,6;100;190;10000000;10000000
281;61,7986;0,1516;26,2573;12,4368;35,6;100;190;10000000;10000000
282;61,7986;0,1516;26,2573;12,4368;35,6;100;190;10000000;10000000
283;78,3339;0,1516;26,2573;12,4368;35,6;100;190;10000000;10000000
284;62,2881;0,1516;26,2573;12,4368;35,6;100;190;10000000;10000000
285;78,3339;0,1516;26,2573;12,4368;35,6;100;190;10000000;10000000
286;78,3339;0,1516;26,2572;12,4368;35,6;100;190;10000000;10000000
