;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east;Solarthermal;Wind_east;Wind_swest;Wind_north;Wind_middle;Hydro_power
3802;0,217714619;0,173414171;0,505542316;0,559012027;0,2202325;0,1776525;0,5266625;0,5925875;0,000466459;0,05857925;0,0158545;0,02408175;0,038689;0,71
3803;0,231629842;0,179864921;0,580184645;0,557974224;0,2348675;0,181005;0,613055;0,593575;0,000532978;0,038689;0,004402253;0,006161;0,015672;0,71
3804;0,220392197;0,157129579;0,58723496;0,533423329;0,2233625;0,157935;0,625315;0,5665375;0,000550713;0,05169425;0,01674;0,01178425;0,01832775;0,71
3805;0,236513053;0,170187592;0,605657763;0,518802592;0,2396425;0,171025;0,64847;0,548685;0,000516806;0,03851175;0,006928927;0,006185753;0,01168525;0,71
3806;0,248593461;0,344912621;0,481159974;0,457191789;0,2523925;0,35043475;0,5124075;0,480855;0,000435686;0,0140785;0,00037705;0,000262295;0,001243708;0,71
3807;0,199792658;0,338564448;0,340276461;0,390093395;0,20257;0,3482525;0,3558;0,4080275;0,000311844;0,005256805;0;0;0,000131148;0,71
3808;0,16907996;0,053161018;0,238783697;0,27757729;0,170765;0,05463875;0,2443175;0,2877375;0,000155125;0,00098361;0;0;0;0,71
3809;0,105399091;0,019172621;0,206188027;0,170259829;0,10601875;0,01885695;0,2101075;0,1739075;0;0,000737705;0;0;0;0,71
3810;0,046129725;0,007638589;0,083363001;0,076497371;0,0460435;0,007300525;0,084443;0,07720775;0;0;0;0;0;0,71
3811;0,016514739;0,002088396;0,025814799;0,019899564;0,01628115;0,001947765;0,02537;0,019694;0;0;0;0;0;0,71
3812;0,000302721;0;0,001576738;0,000169463;0,000293225;0;0,00153354;0,000165795;0;0;0;0;0;0,71
3813;0;0;0;0;0;0;0;0;0;0;0;0;0;0,71
3814;0;0;0;0;0;0;0;0;0;0;0;0;0;0,71
3815;0;0;0;0;0;0;0;0;0;0;0;0;0;0,71
3816;0;0;0;0;0;0;0;0;0;0;0;0;0,000131148;0,71
3817;0;0;0;0;0;0;0;0;0;0;0;0;0,00098361;0,71
3818;0;0;0;0;0;0;0;0;0;0,000508198;0;0;0,00098361;0,71
3819;0;0;0;0;0;0;0;0;0;0;0;0;0,000672132;0,71
3820;0;0,002867955;0;0;0;0,002546885;0;0;0;0,000868855;0,000812028;0,000540985;0,007486428;0,71
3821;0,001224634;0,039196192;0,042246273;0,04437124;0;0,03836875;0,04161225;0,04398375;0;0,007696903;0,0157398;0,0091585;0,0355905;0,71
3822;0,009106369;0,139816816;0,118386553;0,145400242;0,007502025;0,14148225;0,1187;0,14644025;0;0,001330433;0,009344225;0,008601025;0,038689;0,71
3823;0,057714829;0,287288329;0,235761789;0,253787289;0,05711775;0,2977875;0,2394375;0,258795;2,41E-05;0,009344225;0,015672;0,01257375;0,038689;0,71
3824;0,099479281;0,456243079;0,344991118;0,300835145;0,099348;0,48139;0,35415;0,30882;0,000185963;0,028951;0,038689;0,037361;0,07311475;0,71
3825;0,106421724;0,586577605;0,465027079;0,358590908;0,106608;0,6283775;0,484555;0,369305;0,000332361;0,0320495;0,03600375;0,037361;0,0543365;0,71
3826;0,103869596;0,658219697;0,527367474;0,322849082;0,1040745;0,7140225;0,555565;0,33217625;0,000445326;0,00377053;0,002160658;0,004191127;0,004679858;0,71
3827;0,226436013;0,686103119;0,508691842;0,429932013;0,228685;0,7500525;0,536465;0,4436825;0,000511907;0,001429508;0,00016393;0,0004153;0,000196718;0,71
3828;0,244492816;0,684790816;0,487897263;0,417680645;0,247985;0,75106;0,5121375;0,4335875;0,000528049;0,03513375;0,04902925;0,0467125;0,021645025;0,71
3829;0,295918223;0,659991908;0,468407763;0,488932658;0,30133;0,72281;0,489625;0,51144;0,000499101;0,1280675;0,2829475;0,2146525;0,09209225;0,71
3830;0,314203776;0,601155;0,45156454;0,444584053;0,321155;0,6547325;0,4719475;0,4664025;0,000426459;0,09425;0,14725;0,12199325;0,0639345;0,71
3831;0,284868395;0,488776144;0,397476;0,375017566;0,291805;0,52723;0,415255;0,3915575;0,000307555;0,08459;0,1063275;0,09087;0,038689;0,71
3832;0,211203671;0,367083553;0,304991171;0,354167605;0,21551;0,3909425;0,31694;0,36997;0,000158703;0,113125;0,23821;0,1896375;0,08651275;0,71
3833;0,149024605;0,220616132;0,185236934;0,213727145;0,1507825;0,2313475;0,19081075;0,22311;0;0,34098;0,848465;0,5128975;0,3338425;0,71
3834;0,083420069;0,079057926;0,06849377;0,073705176;0,08376925;0,081101;0,06913525;0,07539675;0;0,2769425;0,5321575;0,3274875;0,294865;0,71
3835;0,0285663;0,022648899;0,020938956;0,021013457;0,028352;0,02233225;0,0206648;0,02041275;0;0,170645;0,32175;0,2471225;0,25902;0,71
3836;0,001029623;0,000817755;0,000279954;0,001182584;0,001010348;0,000797933;0,000273675;0,001153225;0;0,15705;0,25902;0,15705;0,25902;0,71
3837;0;0;0;0;0;0;0;0;0;0,190775;0,325085;0,24011;0,325575;0,71
3838;0;0;0;0;0;0;0;0;0;0,4995425;0,93947;0,7281925;0,83358;0,71
3839;0;0;0;0;0;0;0;0;0;0,463115;0,867505;0,60918;0,877585;0,71
3840;0;0;0;0;0;0;0;0;0;0,2769425;0,3464325;0,2859025;0,5103925;0,71
3841;0;0;0;0;0;0;0;0;0;0,3777575;0,62067;0,3710375;0,7391725;0,71
3842;0;0;0;0;0;0;0;0;0;0,54115;0,5882;0,42967;0,6531475;0,71
3843;0;0;0;0;0;0;0;0;0;0,5300025;0,55044;0,54115;0,760785;0,71
3844;0;0,003021058;0,00367476;0,004572828;0;0,00267827;0,003365815;0,00420749;0;0,3351925;0,2942475;0,3002375;0,607095;0,71
3845;0,021698599;0,038496699;0,047807305;0,043442274;0,02131015;0,03777975;0,04685175;0,04283625;0;0,1808425;0,0697695;0,105233;0,32023;0,71
3846;0,057796698;0,140304655;0,155066013;0,166007487;0,05728425;0,14191675;0,157115;0,1691525;0;0,23091;0,101429;0,12845075;0,4139875;0,71
3847;0,094369007;0,29074125;0,324644408;0,32185125;0,09425;0,3014925;0,3380725;0,33589;2,21E-05;0,4742425;0,4986575;0,4062725;0,8283825;0,71
3848;0,137266855;0,448513737;0,491600605;0,495436382;0,13776;0,472925;0,521145;0,52663;0,000143675;0,8134525;0,918895;0,79304;0,9593725;0,71
3849;0,184620513;0,572077263;0,589084224;0,611858092;0,186025;0,6119675;0,6325275;0,6603625;0,000238651;0,995165;1;0,9993275;0,9998775;0,71
3850;0,199898605;0,652739329;0,75433804;0,689267092;0,20189;0,70759;0,8238225;0,7535775;0,000373518;0,9988625;0,9998375;0,9986725;0,9922775;0,71
3851;0,201049579;0,688792737;0,261873;0,724022645;0,203145;0,753985;0,2827025;0,79863;0,000370009;0,9609875;0,7579325;0,8288225;0,70832;0,71
3852;0,203339487;0,693266605;0,328082882;0,728246092;0,2055;0,7626725;0,33504;0,806815;0,000407471;0,914995;0,666805;0,79031;0,6220625;0,71
3853;0,188723566;0,655481921;0,35945462;0,707511711;0,19065;0,7205875;0,36792125;0,78323;0,000404719;0,99471;0,9983525;0,99226;0,95965;0,71
3854;0,181446908;0,599182934;0,289087026;0,641005658;0,1831625;0,654795;0,295385;0,7058025;0,000329516;0,9311525;0,6618875;0,75712;0,6178375;0,71
3855;0,180476527;0,50211829;0,209330329;0,531494605;0,1821575;0,5432925;0,21215;0,579085;0,000223476;0,4934425;0,106393;0,2433725;0,214585;0,71
3856;0,129123596;0,379014671;0,171495079;0,382891382;0,1301015;0,4043425;0,1726625;0,410715;0,000119922;0,256465;0,029279;0,10032725;0,095819;0,71
3857;0,094688293;0,220067132;0,118443379;0,218648882;0,094898;0,2309825;0,1188935;0,230635;3,48E-06;0,064377;0,000530053;0,00987225;0,0135139;0,71
3858;0,047108293;0,084591991;0,061286459;0,072173274;0,0469655;0,0870305;0,06104875;0,074344;0;0,093083;0,006495883;0,0234138;0,0426805;0,71
3859;0,016062175;0,021620487;0,016861235;0,019763278;0,01584055;0,0213128;0,0166226;0,0192035;0;0,3165725;0,1787175;0,1981275;0,2984825;0,71
3860;0,000424543;0,001001;0,000242943;0,000409005;0,000410423;0,000975987;0,000234513;0,00039845;0;0,32175;0,25902;0,25902;0,39344;0,71
3861;0;0;0;0;0;0;0;0;0;0,297105;0,25902;0,25902;0,40013;0,71
3862;0;0;0;0;0;0;0;0;0;0,39344;0,3575925;0,32175;0,5567575;0,71
3863;0;0;0;0;0;0;0;0;0;0,3777575;0,3018475;0,3412925;0,54115;0,71
3864;0;0;0;0;0;0;0;0;0;0,153407;0,036092975;0,0779435;0,2189025;0,71
3865;0;0;0;0;0;0;0;0;0;0,035142;0,000311475;0,00478808;0,04706575;0,71
3866;0;0;0;0;0;0;0;0;0;0,03674125;0;0,00098361;0,012131;0,71
3867;0;0;0;0;0;0;0;0;0;0,01218425;0;0,000737705;0,0108305;0,71
3868;0;0,001826309;0,001835005;0,003967816;0;0,001482785;0,00148333;0,003651833;0;0,001664858;0;0;0,00098361;0,71
3869;0,027268011;0,040789737;0,03732285;0,0432978;0,0268672;0,0399385;0,036534;0,04263475;0;0,00098361;0;0;0,00098361;0,71
