;PV_openfield_north;PV_openfield_east;PV_openfield_middle;PV_openfield_swest;PV_rooftop_north;PV_rooftop_east;PV_rooftop_middle;PV_rooftop_swest;Wind_north;Wind_east;Wind_middle;Wind_swest;PV_openfield_north_scaled;PV_openfield_east_scaled;PV_openfield_middle_scaled;PV_openfield_swest_scaled;PV_rooftop_north_scaled;PV_rooftop_east_scaled;PV_rooftop_middle_scaled;PV_rooftop_swest_scaled;Wind_north_scaled;Wind_east_scaled;Wind_middle_scaled;Wind_swest_scaled;Solarthermal;Hydro_power
1610;0;0;0;0;0;0;0;0;0,319380179;0,437612857;0,360597857;0,325102679;0;0;0;0;0;0;0;0;0,303477534;0,416989779;0,349332456;0,333453744;0;0,92
1611;0;0;0;0;0;0;0;0;0,433289464;0,406158036;0,388837143;0,343269286;0;0;0;0;0;0;0;0;0,411715025;0,387017307;0,376689521;0,352087005;0;0,92
1612;0;0;0;0;0;0;0;0;0,4970375;0,463757321;0,452426607;0,408062857;0;0;0;0;0;0;0;0;0,472288905;0,441902151;0,438292393;0,41854496;0;0,92
1613;0;0;0;0;0;0;0;0;0,507314643;0,510201964;0,502638929;0,386020357;0;0;0;0;0;0;0;0;0,482054326;0,48615803;0,486936036;0,395936244;0;0,92
1614;0,0365;0,0525;0,0466;0,0361;0,0325;0,0463;0,0412;0,0321;0,4741675;0,500068571;0,484116786;0,356232857;0,030456527;0,042228421;0,037534266;0,029299527;0,029504234;0,040556919;0,036128692;0,028342484;0,450557653;0,476502186;0,468992542;0,365383578;0;0,92
1615;0,1205;0,1798;0,1702;0,1511;0,107;0,1576;0,1494;0,1334;0,510204643;0,532101607;0,52408;0,41881;0,100548261;0,144622288;0,13708867;0,122635972;0,097137015;0,138051196;0,131010356;0,117784652;0,484800427;0,507025623;0,507707269;0,429568169;0;0,92
1616;0,2764;0,4504;0,3957;0,4116;0,2428;0,3892;0,3432;0,3569;0,600438571;0,569603393;0,592400893;0,572998929;0,230635182;0,362279635;0,318719077;0,334063308;0,220419321;0,340923386;0,300955516;0,315122505;0,570541409;0,542760088;0,573893756;0,587717821;0;0,92
1617;0,2982;0,5156;0,4505;0,4753;0,2632;0,4468;0,392;0,4135;0,650276786;0,580739107;0,610964643;0,588107143;0,248825656;0,414723313;0,362858085;0,385763582;0,238938901;0,391378645;0,343748724;0,365097102;0,617898068;0,553371017;0,591877558;0,603214128;0;0,92
1618;0,2811;0,4855;0,3977;0,3178;0,2494;0,423;0,3489;0,2811;0,676581786;0,601376071;0,634993929;0,599098571;0,234556982;0,390512351;0,32032999;0,257933235;0,22641095;0,370530812;0,305953903;0,248195394;0,642893284;0,573035438;0,615156147;0,614487898;5,46E-05;0,92
1619;0,3629;0,411;0,3903;0,3453;0,3199;0,3604;0,343;0,3051;0,680990714;0,624642679;0,657051786;0,613505714;0,30281298;0,330588211;0,314369613;0,280252819;0,290412441;0,315695756;0,300780134;0,269386036;0,647082682;0,595205576;0,636524897;0,629265124;0,000236222;0,92
1620;0,3323;0,3585;0,3817;0,3702;0,293;0,3152;0,3349;0,3257;0,682740893;0,64381125;0,670121071;0,6246375;0,277279562;0,28835979;0,307442688;0,300462188;0,265992014;0,276102392;0,293677163;0,28757467;0,648745716;0,613470803;0,649185886;0,640682857;0,000224698;0,92
1621;0,333;0,3245;0,3547;0,3578;0,292;0,2846;0,3103;0,3133;0,690239821;0,653980536;0,675615357;0,633842857;0,27786366;0,26101186;0,285695367;0,290398085;0,265084191;0,249298036;0,272105176;0,276626172;0,655871256;0,623160848;0,654508526;0,650124677;0,000227316;0,92
1622;0,2484;0,2491;0,2752;0,2974;0,2177;0,2181;0,2403;0,2594;0,672979107;0,644712143;0,660264107;0,621968214;0,207271271;0,200363804;0,221661587;0,241376161;0,197632974;0,191046738;0,210721476;0,229035522;0,639469991;0,61432924;0,639636862;0,637945004;0,000176075;0,92
1623;0,121;0,1433;0,1517;0,1549;0,1065;0,1251;0,1324;0,1354;0,626895536;0,588114107;0,605515893;0,55277375;0,100965474;0,115263481;0,122187728;0,125720132;0,096683104;0,109582517;0,116102885;0,119550538;0,595681022;0,560398461;0,586599032;0,566973109;5,38E-05;0,92
1624;0,0085;0,0172;0,0157;0,0167;0,0076;0,015;0,0138;0,0147;0,620220536;0,578418036;0,606851429;0,549401607;0,007092616;0,013834835;0,012645665;0,013554075;0,006899452;0,013139391;0,012101358;0,012979268;0,589338385;0,551159329;0,587892844;0,563514345;2,18E-05;0,92
1625;0;0;0;0;0;0;0;0;0,530352679;0,576470536;0,588773929;0,54321875;0;0;0;0;0;0;0;0;0,503945247;0,549303608;0,570380101;0,557172665;0;0,92
