;Household_middle;Household_north;Household_east;Household_swest;HA4_middle;HA4_north;HA4_east;HA4_swest
90;559,4752872;668,2587633;787,8750169;846,2161071;0,17360275155192173;0,2868902388498666;0,2691499548469558;0,1865883520748437
91;565,15413;668,6065087;793,9523042;846,9930256;0,14617024128310394;0,2445739286195112;0,22661918368010195;0,15710387191207362
92;571,5184868;666,6491815;800,7890637;846,9692774;0,1191471714660595;0,2008231671949066;0,1847232001426041;0,12805945861740453
93;578,4366016;664,0059159;808,2392435;846,2986977;0,1101394815270447;0,19293368562653526;0,1707578722967715;0,11837798751918151
94;588,6335697;662,5166918;816,1849052;845,1055346;0,10891116017172449;0,19508536241790925;0,1688535094087034;0,11705778691487836
95;593,875381;659,0754875;824,5308074;843,4901459;0,1130055646894585;0,20297484398628057;0,17520138570226368;0,12145845559588883
96;604,6587338;650,1093045;845,467195;833,1536848;0,12089767526507157;0,2149795070275012;0,2067473641753647;0,12780979529232422
97;607,5429154;640,208636;871,2379107;819,44399;0,12532616153851742;0,2180727373444437;0,20972214639371528;0,13249147277555953
98;615,5312911;627,8455482;898,8111175;804,4518929;0,1306403450666524;0,21961935250291495;0,21120953750289057;0,1381094857554419
99;620,9306237;619,7940839;918,6380491;794,70964;0,13241173957603075;0,22580581313679987;0,21715910193959173;0,13998215674873604
100;626,1792871;611,6974404;938,5083402;782,7888216;0,14171156075026703;0,23044565861221356;0,22162127526711758;0,14981367946353022
101;628,4751033;601,8560566;958,4139504;772,6446019;0,16075405172608415;0,2791640361040574;0,2684740952061391;0,1699448926414421
102;633,1582482;595,1974421;975,281538;762,493892;0,222752859554326;0,3897470199347504;0,374822559512172;0,23548837740673656
103;634,9981839;587,0494826;988,7291811;752,3377442;0,2763375434630207;0,4755841612299038;0,4573727660714003;0,29213667495388396
104;633,6507995;582,2904384;995,3820208;744,2720252;0,2860802132646016;0,4817706218637888;0,4633223305081015;0,3024363654170017
105;608,4043394;565,9600651;974,8889108;728,0732377;0,2710233599348857;0,4740375460714326;0,4558853749622251;0,28651866197400155
106;586,3949164;546,8072187;921,2952575;702,6910305;0,25508080935048066;0,45238493385283535;0,4350618994337711;0,2696646230343544
107;567,9340546;518,0111329;907,0256436;665,1829238;0,24046680464810938;0,4438785504812436;0,426881248333307;0,25421508733967785
108;554,2245361;492,4312118;916,1008653;635,564184;0,222752859554326;0,4121729397325833;0,39638973059521365;0,23548837740673656
109;546,0816989;472,5557769;923,6864718;606,8786821;0,20681030896992095;0,37428086835003815;0,3599486484204192;0,2186343384670894
110;547,1978475;463,2847253;908,0150283;595,0131226;0,2032675199511643;0,38046732898392305;0,3658982128571203;0,21488899648050117
111;555,5309517;461,791217;919,8102507;590,4236464;0,2023818226964751;0,36268125466150386;0,34879321510160444;0,21395266098385407
112;565,828295;469,342714;940,3447231;603,3992948;0,19972473093240758;0,3379354121259642;0,32499495735479994;0,2111436544939129
113;572,0468933;463,7257123;949,8705041;594,4726863;0,1961819419136509;0,3332955666505505;0,3205327840272741;0,20739831250732466
114;581,6819777;458,1254281;959,496183;587,3980561;0,18776781799410383;0,30932303169424635;0,2974782218350572;0,19850312528917755
115;589,3039373;452,5387356;969,2019645;582,4730955;0,15809695996201664;0,26369788451934506;0,25360018411438623;0,16713588615150093
116;600,0711442;446,963093;978,9719784;575,7480216;0,1288689505572741;0,21652612218597247;0,20823475528454;0,1362368147621478
117;608,6064666;441,3964334;988,7935004;569,0103033;0,11912628075569323;0,2080197388143807;0,20005410418407593;0,1259371242990301
118;620,1105915;435,8370762;998,6563288;562,2624532;0,11779773487365947;0,21033966155208753;0,20228519084783886;0,12453262105405948
