;('Biogas_feedin_existing_n', 'Gas_n');('Biogas_feedin_new_n', 'Gas_n');('Gas_n', 'Gas_demand_total_n');('Gas_n', 'Gas_storage_n');('Gas_n', 'GuD_n');('Gas_n', 'Material_demand_Gas_n');('Gas_n', 'excess_b_gas_n');('Gas_storage_n', 'Gas_n');('Hydrogen_feedin_n', 'Gas_n');('Import_Gas_n', 'Gas_n');('Methanisation_n', 'Gas_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-05 15:00:00;231,28;0,0;390,23;0,0;120,95;0,22;0,0;0,0;0,0;280,13;0,0
2030-01-05 16:00:00;231,28;0,0;384,35;0,0;120,95;0,22;0,0;0,0;0,0;274,24;0,0
2030-01-05 17:00:00;231,28;0,0;372,29;0,0;120,95;0,22;0,0;0,0;0,0;262,19;0,0
2030-01-05 18:00:00;231,28;0,0;355,68;0,0;120,95;0,22;0,0;0,0;0,0;245,57;0,0
2030-01-05 19:00:00;231,28;0,0;336,41;0,0;120,95;0,22;0,0;0,0;0,0;226,3;0,0
2030-01-05 20:00:00;231,28;0,0;319,79;0,0;120,95;0,22;0,0;0,0;0,0;209,68;0,0
2030-01-05 21:00:00;231,28;0,0;309,53;0,0;120,95;0,22;0,0;0,0;0,0;199,42;0,0
2030-01-05 22:00:00;231,28;0,0;298,77;0,0;120,95;0,22;0,0;0,0;0,0;188,66;0,0
2030-01-05 23:00:00;231,28;0,0;298,38;0,0;120,95;0,22;0,0;0,0;0,0;188,27;0,0
2030-01-06 00:00:00;231,28;0,0;294,82;0,0;120,95;0,22;0,0;0,0;0,0;184,72;0,0
2030-01-06 01:00:00;231,28;0,0;294,5;0,0;120,95;0,22;0,0;0,0;0,0;184,39;0,0
2030-01-06 02:00:00;231,28;0,0;297,33;0,0;120,95;0,22;0,0;0,0;0,0;187,22;0,0
2030-01-06 03:00:00;231,28;0,0;302,41;0,0;120,95;0,22;0,0;0,0;0,0;192,3;0,0
2030-01-06 04:00:00;231,28;0,0;319,27;0,0;120,95;0,22;0,0;0,0;0,0;209,17;0,0
2030-01-06 05:00:00;231,28;0,0;348,37;0,0;120,95;0,22;0,0;0,0;0,0;238,26;0,0
2030-01-06 06:00:00;231,28;0,0;394,11;0,0;120,95;0,22;0,0;0,0;0,0;284,0;0,0
2030-01-06 07:00:00;231,28;0,0;418,28;0,0;120,95;0,22;0,0;0,0;0,0;308,17;0,0
2030-01-06 08:00:00;231,28;0,0;421,29;0,0;120,95;0,22;0,0;0,0;0,0;311,18;0,0
2030-01-06 09:00:00;231,28;0,0;407,76;0,0;120,95;0,22;0,0;0,0;0,0;297,65;0,0
2030-01-06 10:00:00;231,28;0,0;386,39;0,0;120,95;0,22;0,0;0,0;0,0;276,29;0,0
2030-01-06 11:00:00;231,28;0,0;366,17;0,0;120,95;0,22;0,0;0,0;0,0;256,07;0,0
2030-01-06 12:00:00;231,28;0,0;344,96;0,0;120,95;0,22;0,0;0,0;0,0;234,85;0,0
2030-01-06 13:00:00;231,28;0,0;326,02;0,0;120,95;0,22;0,0;0,0;0,0;215,91;0,0
2030-01-06 14:00:00;231,28;0,0;324,33;0,0;120,95;0,22;0,0;0,0;0,0;214,22;0,0
2030-01-06 15:00:00;231,28;0,0;315,89;0,0;120,95;0,22;0,0;0,0;0,0;205,79;0,0
2030-01-06 16:00:00;231,28;0,0;315,04;0,0;120,95;0,22;0,0;0,0;0,0;204,93;0,0
2030-01-06 17:00:00;231,28;0,0;308,45;0,0;120,95;0,22;0,0;0,0;0,0;198,35;0,0
2030-01-06 18:00:00;231,28;0,0;296,94;0,0;120,95;0,22;0,0;0,0;0,0;186,84;0,0
2030-01-06 19:00:00;231,28;0,0;282,99;0,0;120,95;0,22;0,0;0,0;0,0;172,88;0,0
2030-01-06 20:00:00;231,28;0,0;272,45;0,0;120,95;0,22;0,0;0,0;0,0;162,35;0,0
2030-01-06 21:00:00;231,28;0,0;267,55;0,0;120,95;0,22;0,0;0,0;0,0;157,44;0,0
2030-01-06 22:00:00;231,28;0,0;262,13;0,0;120,95;0,22;0,0;0,0;0,0;152,03;0,0
2030-01-06 23:00:00;231,28;0,0;267,76;0,0;120,95;0,22;0,0;0,0;0,0;157,65;0,0
2030-01-07 00:00:00;231,28;0,0;263,96;0,0;120,95;0,22;0,0;0,0;0,0;153,86;0,0
2030-01-07 01:00:00;231,28;0,0;266,78;0,0;120,95;0,22;0,0;0,0;0,0;156,67;0,0
2030-01-07 02:00:00;231,28;0,0;272,58;0,0;120,95;0,22;0,0;0,0;0,0;162,48;0,0
2030-01-07 03:00:00;231,28;0,0;280,38;0,0;120,95;0,22;0,0;0,0;0,0;170,28;0,0
2030-01-07 04:00:00;231,28;0,0;299,19;0,0;120,95;0,22;0,0;0,0;0,0;189,09;0,0
2030-01-07 05:00:00;231,28;0,0;329,75;0,0;120,95;0,22;0,0;0,0;0,0;219,65;0,0
2030-01-07 06:00:00;231,28;0,0;374,16;0,0;120,95;0,22;0,0;0,0;0,0;264,06;0,0
2030-01-07 07:00:00;231,28;0,0;399,81;0,0;120,95;0,22;0,0;0,0;0,0;289,71;0,0
2030-01-07 08:00:00;231,28;0,0;406,63;0,0;120,95;0,22;0,0;0,0;0,0;296,52;0,0
2030-01-07 09:00:00;231,28;0,0;410,24;0,0;120,95;0,22;0,0;0,0;0,0;300,14;0,0
2030-01-07 10:00:00;231,28;0,0;406,42;0,0;120,95;0,22;0,0;0,0;0,0;296,31;0,0
2030-01-07 11:00:00;231,28;0,0;398,02;0,0;120,95;0,22;0,0;0,0;0,0;287,91;0,0
2030-01-07 12:00:00;231,28;0,0;387,99;0,0;120,95;0,22;0,0;0,0;0,0;277,88;0,0
2030-01-07 13:00:00;231,28;0,0;371,53;0,0;120,95;0,22;0,0;0,0;0,0;261,43;0,0
2030-01-07 14:00:00;231,28;0,0;370,31;0,0;120,95;0,22;0,0;0,0;0,0;260,2;0,0
2030-01-07 15:00:00;231,28;0,0;358,14;0,0;120,95;0,22;0,0;0,0;0,0;248,03;0,0
2030-01-07 16:00:00;231,28;0,0;347,2;0,0;120,95;0,22;0,0;0,0;0,0;237,1;0,0
2030-01-07 17:00:00;231,28;0,0;337,51;0,0;120,95;0,22;0,0;0,0;0,0;227,4;0,0
2030-01-07 18:00:00;231,28;0,0;325,67;0,0;120,95;0,22;0,0;0,0;0,0;215,56;0,0
2030-01-07 19:00:00;231,28;0,0;311,34;0,0;120,95;0,22;0,0;0,0;0,0;201,23;0,0
2030-01-07 20:00:00;231,28;0,0;300,52;0,0;120,95;0,22;0,0;0,0;0,0;190,41;0,0
2030-01-07 21:00:00;231,28;0,0;294,52;0,0;120,95;0,22;0,0;0,0;0,0;184,41;0,0
2030-01-07 22:00:00;231,28;0,0;288,48;0,0;120,95;0,22;0,0;0,0;0,0;178,37;0,0
2030-01-07 23:00:00;231,28;0,0;292,09;0,0;120,95;0,22;0,0;0,0;0,0;181,99;0,0
2030-01-08 00:00:00;231,28;0,0;261,99;0,0;120,95;0,22;0,0;0,0;0,0;151,88;0,0
2030-01-08 01:00:00;231,28;0,0;264,26;0,0;120,95;0,22;0,0;0,0;0,0;154,16;0,0
2030-01-08 02:00:00;231,28;0,0;267,33;0,0;120,95;0,22;0,0;0,0;0,0;157,22;0,0
2030-01-08 03:00:00;231,28;0,0;266,9;0,0;120,95;0,22;0,0;0,0;0,0;156,79;0,0
2030-01-08 04:00:00;231,28;0,0;271,7;0,0;120,95;0,22;0,0;0,0;0,0;161,6;0,0
2030-01-08 05:00:00;231,28;0,0;272,37;0,0;120,95;0,22;0,0;0,0;0,0;162,27;0,0
2030-01-08 06:00:00;231,28;0,0;301,79;0,0;120,95;0,22;0,0;0,0;0,0;191,68;0,0
2030-01-08 07:00:00;231,28;0,0;320,8;0,0;120,95;0,22;0,0;0,0;0,0;210,7;0,0
2030-01-08 08:00:00;231,28;0,0;320,66;0,0;120,95;0,22;0,0;0,0;0,0;210,56;0,0
2030-01-08 09:00:00;231,28;0,0;318,69;0,0;120,95;0,22;0,0;0,0;0,0;208,59;0,0
2030-01-08 10:00:00;231,28;0,0;321,44;0,0;120,95;0,22;0,0;0,0;0,0;211,33;0,0
2030-01-08 11:00:00;231,28;0,0;312,17;0,0;120,95;0,22;0,0;0,0;0,0;202,07;0,0
2030-01-08 12:00:00;231,28;0,0;298,92;0,0;120,95;0,22;0,0;0,0;0,0;188,81;0,0
2030-01-08 13:00:00;231,28;0,0;274,91;0,0;120,95;0,22;0,0;0,0;0,0;164,81;0,0
2030-01-08 14:00:00;231,28;0,0;258,48;0,0;120,95;0,22;0,0;0,0;0,0;148,37;0,0
2030-01-08 15:00:00;231,28;0,0;241,22;0,0;120,95;0,22;0,0;0,0;0,0;131,12;0,0
2030-01-08 16:00:00;231,28;0,0;239,98;0,0;120,95;0,22;0,0;0,0;0,0;129,87;0,0
2030-01-08 17:00:00;231,28;0,0;229,33;0,0;120,95;0,22;0,0;0,0;0,0;119,22;0,0
2030-01-08 18:00:00;231,28;0,0;218,25;0,0;120,95;0,22;0,0;0,0;0,0;108,14;0,0
2030-01-08 19:00:00;231,28;0,0;215,99;0,0;120,95;0,22;0,0;0,0;0,0;105,89;0,0
2030-01-08 20:00:00;231,28;0,0;217,5;0,0;120,95;0,22;0,0;0,0;0,0;107,39;0,0
2030-01-08 21:00:00;231,28;0,0;217,37;0,0;120,95;0,22;0,0;0,0;0,0;107,27;0,0
