;('Battery_e', 'Electricity_e');('Biogas_e', 'Electricity_e');('Biomasse_elec_e', 'Electricity_e');('East<->Middel', 'Electricity_e');('Electricity_e', 'Battery_e');('Electricity_e', 'East<->Middel');('Electricity_e', 'Electric boiler_e');('Electricity_e', 'Electricity_demand_total_e');('Electricity_e', 'Electrolysis_e');('Electricity_e', 'Export_Electricity_e');('Electricity_e', 'HS<->East');('Electricity_e', 'Heatpump_air_e');('Electricity_e', 'Heatpump_water_e');('Electricity_e', 'Pumped_hydro_storage_e');('Electricity_e', 'excess_b_el_e');('Fuelcell_e', 'Electricity_e');('GuD_e', 'Electricity_e');('HS<->East', 'Electricity_e');('Hydro power plant_e', 'Electricity_e');('PV_open_e', 'Electricity_e');('PV_rooftop_e', 'Electricity_e');('Pumped_hydro_storage_e', 'Electricity_e');('Wind_e', 'Electricity_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-03 02:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;417,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;477,49;0,0;0,0;0,0;0,0;0,29
2030-01-03 03:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;419,77;0,0;0,0;0,0;0,0;0,0;283,64;0,0;0,0;98,95;763,74;0,0;0,0;0,0;0,0;0,03
2030-01-03 04:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;448,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;508,29;0,0;0,0;0,0;0,0;0,13
2030-01-03 05:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;508,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;409,84;0,0;0,0;0,0;0,0;0,03
2030-01-03 06:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;600,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;501,07;0,0;0,0;0,0;0,0;0,41
2030-01-03 07:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;728,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;628,6;0,0;0,0;0,0;0,0;0,88
2030-01-03 08:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;819,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;271,96;0,0;0,0;0,0;288,0;1,27
2030-01-03 09:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;814,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;428,47;0,0;9,17;0,0;273,39;4,28
2030-01-03 10:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;789,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;645,0;0,0;16,26;0,0;0,0;28,82
2030-01-03 11:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;785,96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;617,48;0,0;17,0;0,0;0,0;52,53
2030-01-03 12:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;759,81;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;584,76;0,0;6,83;0,0;0,0;69,27
2030-01-03 13:00:00;158,13;0,0;0,0;0,0;0,0;0,0;0,0;721,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;120,33;0,0;6,3;0,0;288,0;50,27
2030-01-03 14:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;707,59;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;581,34;0,0;5,75;0,0;0,0;21,56
2030-01-03 15:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;729,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;136,7;0,0;2,34;0,0;288,0;43,91
2030-01-03 16:00:00;96,77;0,0;0,0;0,0;0,0;0,0;0,0;741,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,02;0,0;288,0;257,84
2030-01-03 17:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;716,36;0,0;0,0;0,0;0,0;0,0;83,48;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;860,19
2030-01-03 18:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;699,79;0,0;0,0;0,0;0,0;0,0;1,56;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;761,71
2030-01-03 19:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;697,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;90,38;348,38
2030-01-03 20:00:00;127,45;0,0;0,0;0,0;0,0;0,0;0,0;672,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;76,26;0,0;0,0;0,0;0,0;369,84
