;('Biogas_e', 'District heating_e');('Biomasse_heat_e', 'District heating_e');('District heating_e', 'Heat storage_e');('District heating_e', 'Heat_demand_total_e');('District heating_e', 'excess_b_distheat_e');('Electric boiler_e', 'District heating_e');('GuD_e', 'District heating_e');('Heat storage_e', 'District heating_e');('Heatpump_air_e', 'District heating_e');('Heatpump_water_e', 'District heating_e');('ST_e', 'District heating_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-06 10:00:00;0,0;0,0;0,0;124,15;0,0;0,0;94,55;29,6;0,0;0,0;0,0
2030-01-06 11:00:00;0,0;0,0;0,0;119,34;0,0;0,0;94,55;24,79;0,0;0,0;0,0
2030-01-06 12:00:00;0,0;0,0;0,0;111,69;0,0;0,0;94,55;17,14;0,0;0,0;0,0
2030-01-06 13:00:00;0,0;0,0;0,0;107,59;0,0;0,0;94,55;13,03;0,0;0,0;0,0
2030-01-06 14:00:00;0,0;0,0;0,0;103,79;0,0;0,0;94,55;9,24;0,0;0,0;0,0
2030-01-06 15:00:00;0,0;0,0;0,0;103,33;0,0;0,0;94,55;8,78;0,0;0,0;0,0
2030-01-06 16:00:00;0,0;0,0;0,0;105,95;0,0;0,0;94,55;11,39;0,0;0,0;0,0
2030-01-06 17:00:00;0,0;0,0;0,0;106,47;0,0;0,0;94,55;11,92;0,0;0,0;0,0
2030-01-06 18:00:00;0,0;0,0;0,0;107,16;0,0;0,0;94,55;12,6;0,0;0,0;0,0
2030-01-06 19:00:00;0,0;0,0;0,0;107,97;0,0;0,0;94,55;13,42;0,0;0,0;0,0
2030-01-06 20:00:00;0,0;0,0;0,0;108,48;0,0;0,0;94,55;13,92;0,0;0,0;0,0
2030-01-06 21:00:00;0,0;0,0;0,0;109,42;0,0;0,0;94,55;14,87;0,0;0,0;0,0
2030-01-06 22:00:00;0,0;0,0;0,0;110,45;0,0;0,0;94,55;15,9;0,0;0,0;0,0
2030-01-06 23:00:00;0,0;0,0;0,0;111,54;0,0;0,0;94,55;16,99;0,0;0,0;0,0
2030-01-07 00:00:00;0,0;0,0;0,0;113,91;0,0;0,0;94,55;19,36;0,0;0,0;0,0
2030-01-07 01:00:00;0,0;0,0;0,0;116,07;0,0;0,0;94,55;21,51;0,0;0,0;0,0
2030-01-07 02:00:00;0,0;0,0;0,0;118,74;0,0;0,0;94,55;24,18;0,0;0,0;0,0
2030-01-07 03:00:00;0,0;0,0;0,0;120,31;0,0;0,0;94,55;25,75;0,0;0,0;0,0
2030-01-07 04:00:00;0,0;0,0;0,0;121,83;0,0;0,0;94,55;27,28;0,0;0,0;0,0
2030-01-07 05:00:00;0,0;0,0;0,0;123,74;0,0;0,0;94,55;29,18;0,0;0,0;0,0
2030-01-07 06:00:00;0,0;0,0;0,0;124,84;0,0;0,0;94,55;30,28;0,0;0,0;0,0
2030-01-07 07:00:00;0,0;0,0;0,0;126,94;0,0;0,0;94,55;32,39;0,0;0,0;0,0
2030-01-07 08:00:00;0,0;0,0;0,0;128,13;0,0;0,0;94,55;33,58;0,0;0,0;0,0
