;('Biogas_s', 'District heating_s');('Biomasse_heat_s', 'District heating_s');('District heating_s', 'Heat storage_s');('District heating_s', 'Heat_demand_total_s');('District heating_s', 'excess_b_distheat_s');('Electric boiler_s', 'District heating_s');('GuD_s', 'District heating_s');('Heat storage_s', 'District heating_s');('Heatpump_air_s', 'District heating_s');('Heatpump_water_s', 'District heating_s');('ST_s', 'District heating_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-06 14:00:00;0,0;0,0;22,37;41,83;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 15:00:00;0,0;0,0;20,93;43,27;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 16:00:00;0,0;0,0;17,89;46,31;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 17:00:00;0,0;0,0;16,94;47,26;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 18:00:00;0,0;0,0;15,71;48,49;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 19:00:00;0,0;0,0;14,66;49,54;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 20:00:00;0,0;0,0;13,59;50,61;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 21:00:00;0,0;0,0;12,26;51,94;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 22:00:00;0,0;0,0;11,13;53,07;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-06 23:00:00;0,0;0,0;9,99;54,21;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 00:00:00;0,0;0,0;8,61;55,59;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 01:00:00;0,0;0,0;7,2;57,01;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 02:00:00;0,0;0,0;5,52;58,68;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 03:00:00;0,0;0,0;4,5;59,7;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 04:00:00;0,0;0,0;3,54;60,66;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 05:00:00;0,0;0,0;2,37;61,83;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 06:00:00;0,0;0,0;1,68;62,52;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 07:00:00;0,0;0,0;0,42;63,78;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 08:00:00;0,0;0,0;0,0;65,23;0,0;0,0;64,2;1,03;0,0;0,0;0,0
2030-01-07 09:00:00;0,0;0,0;0,0;66,3;0,0;0,0;64,2;2,1;0,0;0,0;0,0
2030-01-07 10:00:00;0,0;0,0;0,0;66,23;0,0;0,0;64,2;2,03;0,0;0,0;0,0
2030-01-07 11:00:00;0,0;0,0;0,0;64,7;0,0;0,0;64,2;0,5;0,0;0,0;0,0
2030-01-07 12:00:00;0,0;0,0;0,26;63,94;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 13:00:00;0,0;0,0;3,05;61,15;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 14:00:00;0,0;0,0;3,42;60,78;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 15:00:00;0,0;0,0;3,79;60,41;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 16:00:00;0,0;0,0;4,75;59,45;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 17:00:00;0,0;0,0;4,76;59,44;0,0;0,0;64,2;0,0;0,0;0,0;0,0
