;('Biogas_feedin_existing_e', 'Gas_e');('Biogas_feedin_new_e', 'Gas_e');('Gas_e', 'Gas_demand_total_e');('Gas_e', 'Gas_storage_e');('Gas_e', 'GuD_e');('Gas_e', 'Material_demand_Gas_e');('Gas_e', 'excess_b_gas_e');('Gas_storage_e', 'Gas_e');('Hydrogen_feedin_e', 'Gas_e');('Import_Gas_e', 'Gas_e');('Methanisation_e', 'Gas_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-09 01:00:00;419,76;0,0;626,15;0,0;219,89;0,37;0,0;0,0;0,0;426,65;0,0
2030-01-09 02:00:00;419,76;0,0;636,76;0,0;219,89;0,37;0,0;0,0;0,0;437,26;0,0
2030-01-09 03:00:00;419,76;0,0;662,73;0,0;219,89;0,37;0,0;0,0;0,0;463,23;0,0
2030-01-09 04:00:00;419,76;0,0;673,88;0,0;219,89;0,37;0,0;0,0;0,0;474,38;0,0
2030-01-09 05:00:00;419,76;0,0;702,45;0,0;219,89;0,37;0,0;0,0;0,0;502,96;0,0
2030-01-09 06:00:00;419,76;0,0;697,57;0,0;219,89;0,37;0,0;0,0;0,0;498,08;0,0
2030-01-09 07:00:00;419,76;0,0;722,55;0,0;219,89;0,37;0,0;0,0;0,0;523,05;0,0
2030-01-09 08:00:00;419,76;0,0;709,43;0,0;219,89;0,37;0,0;0,0;0,0;509,94;0,0
2030-01-09 09:00:00;419,76;0,0;685,25;0,0;219,89;0,37;0,0;485,75;0,0;0,0;0,0
2030-01-09 10:00:00;419,76;0,0;653,28;0,0;219,89;0,37;0,0;0,0;0,0;453,78;0,0
2030-01-09 11:00:00;419,76;0,0;609,87;0,0;219,89;0,37;0,0;0,0;0,0;410,37;0,0
2030-01-09 12:00:00;419,76;0,0;571,15;0,0;219,89;0,37;0,0;0,0;0,0;371,65;0,0
2030-01-09 13:00:00;419,76;0,0;555,15;0,0;219,89;0,37;0,0;0,0;0,0;355,65;0,0
2030-01-09 14:00:00;419,76;0,0;544,61;0,0;219,89;0,37;0,0;0,0;0,0;345,11;0,0
2030-01-09 15:00:00;419,76;0,0;556,11;0,0;219,89;0,37;0,0;0,0;0,0;356,62;0,0
2030-01-09 16:00:00;419,76;0,0;558,43;0,0;219,89;0,37;0,0;0,0;0,0;358,93;0,0
2030-01-09 17:00:00;419,76;0,0;582,58;0,0;219,89;0,37;0,0;0,0;0,0;383,09;0,0
2030-01-09 18:00:00;419,76;0,0;595,07;0,0;219,89;0,37;0,0;0,0;0,0;395,57;0,0
2030-01-09 19:00:00;419,76;0,0;601,94;0,0;219,89;0,37;0,0;0,0;0,0;402,44;0,0
2030-01-09 20:00:00;419,76;0,0;608,23;0,0;219,89;0,37;0,0;408,74;0,0;0,0;0,0
2030-01-09 21:00:00;419,76;0,0;634,64;0,0;219,89;0,37;0,0;0,0;0,0;435,14;0,0
2030-01-09 22:00:00;419,76;0,0;651,43;0,0;219,89;0,37;0,0;0,0;0,0;451,94;0,0
2030-01-09 23:00:00;419,76;0,0;676,56;0,0;219,89;0,37;0,0;0,0;0,0;477,07;0,0
2030-01-10 00:00:00;419,76;0,0;735,73;0,0;219,89;0,37;0,0;0,0;0,0;536,23;0,0
2030-01-10 01:00:00;419,76;0,0;750,74;0,0;219,89;0,37;0,0;0,0;0,0;551,24;0,0
2030-01-10 02:00:00;419,76;0,0;777,21;0,0;219,89;0,37;0,0;0,0;0,0;577,72;0,0
2030-01-10 03:00:00;419,76;0,0;798,94;0,0;219,89;0,37;0,0;0,0;0,0;599,44;0,0
2030-01-10 04:00:00;419,76;0,0;839,82;0,0;219,89;0,37;0,0;0,0;0,0;640,33;0,0
2030-01-10 05:00:00;419,76;0,0;900,6;0,0;219,89;0,37;0,0;0,0;0,0;701,11;0,0
2030-01-10 06:00:00;419,76;0,0;993,78;0,0;219,89;0,37;0,0;0,0;0,0;794,28;0,0
2030-01-10 07:00:00;419,76;0,0;1049,92;0,0;219,89;0,37;0,0;0,0;0,0;850,42;0,0
2030-01-10 08:00:00;419,76;0,0;1074,52;0,0;219,89;0,37;0,0;0,0;0,0;875,02;0,0
2030-01-10 09:00:00;419,76;0,0;1054,96;0,0;219,89;0,37;0,0;0,0;0,0;855,47;0,0
2030-01-10 10:00:00;419,76;0,0;1024,31;0,0;219,89;0,37;0,0;0,0;0,0;824,81;0,0
2030-01-10 11:00:00;419,76;0,0;983,18;0,0;219,89;0,37;0,0;0,0;0,0;783,68;0,0
