;('Import_Oil_n', 'Oil_fuel_n');('Import_Synthetic_fuel_n', 'Oil_fuel_n');('Oil_fuel_n', 'Material_demand_Oil_n');('Oil_fuel_n', 'Mobility_demand_total_n');('Oil_fuel_n', 'Oil_demand_total_n');('Oil_fuel_n', 'excess_b_oil_fuel_n');('PtL_n', 'Oil_fuel_n')
;flow;flow;flow;flow;flow;flow;flow
2030-01-06 02:00:00;325,5;0,0;15,8;265,84;43,86;0,0;0,0
2030-01-06 03:00:00;325,68;0,0;15,8;265,84;44,03;0,0;0,0
2030-01-06 04:00:00;325,87;0,0;15,8;265,84;44,23;0,0;0,0
2030-01-06 05:00:00;326,08;0,0;15,8;265,84;44,44;0,0;0,0
2030-01-06 06:00:00;326,3;0,0;15,8;265,84;44,66;0,0;0,0
2030-01-06 07:00:00;326,37;0,0;15,8;265,84;44,72;0,0;0,0
2030-01-06 08:00:00;326,25;0,0;15,8;265,84;44,6;0,0;0,0
2030-01-06 09:00:00;323,07;0,0;15,8;265,84;41,43;0,0;0,0
2030-01-06 10:00:00;319,11;0,0;15,8;265,84;37,47;0,0;0,0
2030-01-06 11:00:00;314,98;0,0;15,8;265,84;33,34;0,0;0,0
2030-01-06 12:00:00;311,66;0,0;15,8;265,84;30,02;0,0;0,0
2030-01-06 13:00:00;309,28;0,0;15,8;265,84;27,64;0,0;0,0
2030-01-06 14:00:00;308,8;0,0;15,8;265,84;27,15;0,0;0,0
2030-01-06 15:00:00;309,61;0,0;15,8;265,84;27,97;0,0;0,0
2030-01-06 16:00:00;311,6;0,0;15,8;265,84;29,96;0,0;0,0
2030-01-06 17:00:00;312,41;0,0;15,8;265,84;30,77;0,0;0,0
2030-01-06 18:00:00;313,1;0,0;15,8;265,84;31,46;0,0;0,0
2030-01-06 19:00:00;313,82;0,0;15,8;265,84;32,18;0,0;0,0
2030-01-06 20:00:00;314,73;0,0;15,8;265,84;33,09;0,0;0,0
2030-01-06 21:00:00;315,51;0,0;15,8;265,84;33,87;0,0;0,0
2030-01-06 22:00:00;316,3;0,0;15,8;265,84;34,66;0,0;0,0
2030-01-06 23:00:00;317,27;0,0;15,8;265,84;35,63;0,0;0,0
2030-01-07 00:00:00;318,26;0,0;15,8;265,84;36,62;0,0;0,0
2030-01-07 01:00:00;319,45;0,0;15,8;265,84;37,81;0,0;0,0
2030-01-07 02:00:00;320,51;0,0;15,8;265,84;38,86;0,0;0,0
2030-01-07 03:00:00;321,4;0,0;15,8;265,84;39,76;0,0;0,0
2030-01-07 04:00:00;322,11;0,0;15,8;265,84;40,47;0,0;0,0
2030-01-07 05:00:00;322,96;0,0;15,8;265,84;41,32;0,0;0,0
2030-01-07 06:00:00;323,46;0,0;15,8;265,84;41,82;0,0;0,0
2030-01-07 07:00:00;324,38;0,0;15,8;265,84;42,73;0,0;0,0
2030-01-07 08:00:00;325,25;0,0;15,8;265,84;43,6;0,0;0,0
2030-01-07 09:00:00;326,34;0,0;15,8;265,84;44,7;0,0;0,0
