;('Biogas_m', 'District heating_m');('Biomasse_heat_m', 'District heating_m');('District heating_m', 'Heat storage_m');('District heating_m', 'Heat_demand_total_m');('District heating_m', 'excess_b_distheat_m');('Electric boiler_m', 'District heating_m');('GuD_m', 'District heating_m');('Heat storage_m', 'District heating_m');('Heatpump_air_m', 'District heating_m');('Heatpump_water_m', 'District heating_m');('ST_m', 'District heating_m')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-05 14:00:00;0,0;0,0;23,55;69,7;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 15:00:00;0,0;0,0;22,49;70,76;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 16:00:00;0,0;0,0;21,18;72,07;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 17:00:00;0,0;0,0;20,39;72,86;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 18:00:00;0,0;0,0;19,16;74,09;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 19:00:00;0,0;0,0;18,19;75,06;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 20:00:00;0,0;0,0;16,82;76,43;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 21:00:00;0,0;0,0;15,73;77,52;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 22:00:00;0,0;0,0;14,27;78,99;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-05 23:00:00;0,0;0,0;12,74;80,51;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 00:00:00;0,0;0,0;11,17;82,08;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 01:00:00;0,0;0,0;9,56;83,69;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 02:00:00;0,0;0,0;7,93;85,33;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 03:00:00;0,0;0,0;6,98;86,27;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 04:00:00;0,0;0,0;5,75;87,5;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 05:00:00;0,0;0,0;4,89;88,37;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 06:00:00;0,0;0,0;4,08;89,18;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 07:00:00;0,0;0,0;3,31;89,95;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 08:00:00;0,0;0,0;3,3;89,96;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 09:00:00;0,0;0,0;7,54;85,71;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 10:00:00;0,0;0,0;12,36;80,89;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 11:00:00;0,0;0,0;17,39;75,87;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 12:00:00;0,0;0,0;21,12;72,14;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 13:00:00;0,0;0,0;23,51;69,74;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 14:00:00;0,0;0,0;23,88;69,37;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 15:00:00;0,0;0,0;22,73;70,52;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 16:00:00;0,0;0,0;20,15;73,11;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 17:00:00;0,0;0,0;18,97;74,29;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 18:00:00;0,0;0,0;17,31;75,94;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 19:00:00;0,0;0,0;15,88;77,37;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 20:00:00;0,0;0,0;14,39;78,86;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 21:00:00;0,0;0,0;12,84;80,41;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 22:00:00;0,0;0,0;10,89;82,36;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-06 23:00:00;0,0;0,0;9,22;84,03;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 00:00:00;0,0;0,0;7,54;85,72;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 01:00:00;0,0;0,0;5,47;87,78;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 02:00:00;0,0;0,0;3,72;89,54;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 03:00:00;0,0;0,0;2,32;90,94;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 04:00:00;0,0;0,0;0,96;92,29;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 05:00:00;0,0;0,0;0,0;93,62;0,0;0,0;93,25;0,36;0,0;0,0;0,0
2030-01-07 06:00:00;0,0;0,0;0,0;94,55;0,0;0,0;93,25;1,3;0,0;0,0;0,0
2030-01-07 07:00:00;0,0;0,0;0,0;96,37;0,0;0,0;93,25;3,12;0,0;0,0;0,0
2030-01-07 08:00:00;0,0;0,0;0,0;97,39;0,0;0,0;93,25;4,14;0,0;0,0;0,0
2030-01-07 09:00:00;0,0;0,0;0,0;95,71;0,0;0,0;93,25;2,46;0,0;0,0;0,0
2030-01-07 10:00:00;0,0;0,0;1,91;91,34;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 11:00:00;0,0;0,0;10,06;83,2;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 12:00:00;0,0;0,0;14,55;78,71;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 13:00:00;0,0;0,0;15,77;77,48;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 14:00:00;0,0;0,0;14,16;79,09;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 15:00:00;0,0;0,0;12,5;80,75;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 16:00:00;0,0;0,0;12,77;80,48;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 17:00:00;0,0;0,0;12,65;80,6;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 18:00:00;0,0;0,0;11,91;81,34;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 19:00:00;0,0;0,0;11,09;82,16;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 20:00:00;0,0;0,0;10,56;82,7;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 21:00:00;0,0;0,0;9,65;83,6;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 22:00:00;0,0;0,0;8,7;84,55;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-07 23:00:00;0,0;0,0;7,7;85,55;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 00:00:00;0,0;0,0;7,03;86,22;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 01:00:00;0,0;0,0;6,01;87,24;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 02:00:00;0,0;0,0;5,69;87,57;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 03:00:00;0,0;0,0;5,42;87,83;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 04:00:00;0,0;0,0;5,21;88,04;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 05:00:00;0,0;0,0;5,04;88,21;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 06:00:00;0,0;0,0;4,9;88,35;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 07:00:00;0,0;0,0;4,2;89,06;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 08:00:00;0,0;0,0;3,22;90,03;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 09:00:00;0,0;0,0;5,0;88,25;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 10:00:00;0,0;0,0;9,11;84,15;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 11:00:00;0,0;0,0;16,13;77,12;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 12:00:00;0,0;0,0;20,68;72,57;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 13:00:00;0,0;0,0;22,45;70,8;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 14:00:00;0,0;0,0;21,63;71,62;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 15:00:00;0,0;0,0;20,93;72,32;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 16:00:00;0,0;0,0;22,61;70,65;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 17:00:00;0,0;0,0;21,78;71,48;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 18:00:00;0,0;0,0;20,49;72,77;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 19:00:00;0,0;0,0;18,63;74,62;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 20:00:00;0,0;0,0;16,56;76,69;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 21:00:00;0,0;0,0;14,69;78,56;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 22:00:00;0,0;0,0;12,36;80,89;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-08 23:00:00;0,0;0,0;10,28;82,98;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-09 00:00:00;0,0;0,0;5,97;87,28;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-09 01:00:00;0,0;0,0;1,37;91,89;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-09 02:00:00;0,0;0,0;0,0;97,1;0,0;0,0;0,0;97,1;0,0;0,0;0,0
2030-01-09 03:00:00;0,0;0,0;0,0;100,76;0,0;0,0;0,0;100,76;0,0;0,0;0,0
2030-01-09 04:00:00;0,0;0,0;0,0;104,03;0,0;0,0;0,0;104,03;0,0;0,0;0,0
2030-01-09 05:00:00;0,0;0,0;0,0;107,6;0,0;0,0;93,25;14,35;0,0;0,0;0,0
2030-01-09 06:00:00;0,0;0,0;0,0;110,45;0,0;0,0;93,25;17,19;0,0;0,0;0,0
2030-01-09 07:00:00;0,0;0,0;0,0;113,78;0,0;0,0;93,25;20,53;0,0;0,0;0,0
2030-01-09 08:00:00;0,0;0,0;0,0;116,26;0,0;0,0;93,25;23,01;0,0;0,0;0,0
2030-01-09 09:00:00;0,0;0,0;0,0;116,75;0,0;0,0;93,25;23,5;0,0;0,0;0,0
2030-01-09 10:00:00;0,0;0,0;0,0;112,73;0,0;0,0;93,25;19,47;0,0;0,0;0,0
2030-01-09 11:00:00;0,0;0,0;0,0;105,86;0,0;0,0;93,25;12,61;0,0;0,0;0,0
2030-01-09 12:00:00;0,0;0,0;0,0;99,6;0,0;0,0;93,25;6,35;0,0;0,0;0,0
2030-01-09 13:00:00;0,0;0,0;0,0;96,93;0,0;0,0;93,25;3,67;0,0;0,0;0,0
2030-01-09 14:00:00;0,0;0,0;0,0;96,83;0,0;0,0;93,25;3,58;0,0;0,0;0,0
2030-01-09 15:00:00;0,0;0,0;0,0;97,75;0,0;0,0;93,25;4,5;0,0;0,0;0,0
2030-01-09 16:00:00;0,0;0,0;0,0;99,16;0,0;0,0;93,25;5,9;0,0;0,0;0,0
2030-01-09 17:00:00;0,0;0,0;0,0;101,2;0,0;0,0;93,25;7,95;0,0;0,0;0,0
2030-01-09 18:00:00;0,0;0,0;0,0;103,59;0,0;0,0;93,25;10,34;0,0;0,0;0,0
2030-01-09 19:00:00;0,0;0,0;0,0;106,09;0,0;0,0;93,25;12,83;0,0;0,0;0,0
2030-01-09 20:00:00;0,0;0,0;0,0;109,03;0,0;0,0;93,25;15,78;0,0;0,0;0,0
2030-01-09 21:00:00;0,0;0,0;0,0;111,73;0,0;0,0;93,25;18,48;0,0;0,0;0,0
2030-01-09 22:00:00;0,0;0,0;0,0;114,47;0,0;0,0;93,25;21,22;0,0;0,0;0,0
2030-01-09 23:00:00;0,0;0,0;0,0;117,62;0,0;0,0;93,25;24,37;0,0;0,0;0,0
2030-01-10 00:00:00;0,0;0,0;0,0;119,4;0,0;0,0;93,25;26,14;0,0;0,0;0,0
2030-01-10 01:00:00;0,0;0,0;0,0;120,7;0,0;0,0;93,25;27,44;0,0;0,0;0,0
2030-01-10 02:00:00;0,0;0,0;0,0;121,86;0,0;0,0;93,25;28,61;0,0;0,0;0,0
2030-01-10 03:00:00;0,0;0,0;0,0;122,91;0,0;0,0;93,25;29,66;0,0;0,0;0,0
2030-01-10 04:00:00;0,0;0,0;0,0;123,52;0,0;0,0;93,25;30,26;0,0;0,0;0,0
2030-01-10 05:00:00;0,0;0,0;0,0;124,36;0,0;0,0;93,25;31,11;0,0;0,0;0,0
2030-01-10 06:00:00;0,0;0,0;0,0;124,8;0,0;0,0;93,25;31,55;0,0;0,0;0,0
2030-01-10 07:00:00;0,0;0,0;0,0;126,11;0,0;0,0;93,25;32,85;0,0;0,0;0,0
2030-01-10 08:00:00;0,0;0,0;0,0;126,96;0,0;0,0;93,25;33,71;0,0;0,0;0,0
2030-01-10 09:00:00;0,0;0,0;0,0;128,24;0,0;0,0;93,25;34,98;0,0;0,0;0,0
2030-01-10 10:00:00;0,0;0,0;0,0;126,8;0,0;0,0;93,25;33,54;0,0;0,0;0,0
2030-01-10 11:00:00;0,0;0,0;0,0;123,42;0,0;0,0;93,25;30,17;0,0;0,0;0,0
2030-01-10 12:00:00;0,0;0,0;0,0;121,19;0,0;0,0;93,25;27,94;0,0;0,0;0,0
