,"(('Biogaseinspeisung_Bestandsanlagen', 'Gas'), 'flow')","(('Biogaseinspeisung_Neuanlagen', 'Gas'), 'flow')","(('Erdgasspeicher', 'Gas'), 'flow')","(('Gas', 'Erdgasspeicher'), 'flow')","(('Gas', 'GuD'), 'flow')","(('Gas', 'Last_Gas_ges'), 'flow')","(('Gas', 'Materialbedarf_Gas'), 'flow')","(('Gas', 'excess_b_gas2'), 'flow')","(('Import_Gas', 'Gas'), 'flow')","(('Methanisierung', 'Gas'), 'flow')","(('Wasserstoffeinspeisung', 'Gas'), 'flow')"
2030-01-04 21:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2023,584219713573","3,170979198376459","0,0","2602,057664081471","0,0","0,0"
2030-01-04 22:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1900,105582624627","3,170979198376459","0,0","2478,579026992525","0,0","0,0"
2030-01-04 23:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1632,117721404275","3,170979198376459","0,0","2210,591165772173","0,0","0,0"
2030-01-05 00:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1616,685923074065","3,170979198376459","0,0","2195,159367441963","0,0","0,0"
2030-01-05 01:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1599,5058738823154","3,170979198376459","0,0","2177,9793182502135","0,0","0,0"
2030-01-05 02:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1618,6081679376919","3,170979198376459","0,0","2197,08161230559","0,0","0,0"
2030-01-05 03:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1678,0819085661694","3,170979198376459","0,0","2256,5553529340677","0,0","0,0"
2030-01-05 04:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1894,4782135261185","3,170979198376459","0,0","2472,9516578940165","0,0","0,0"
2030-01-05 05:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2535,0379731159414","3,170979198376459","0,0","3113,511417483839","0,0","0,0"
2030-01-05 06:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2758,0033525183917","3,170979198376459","0,0","3336,47679688629","0,0","0,0"
2030-01-05 07:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2748,4310291937977","3,170979198376459","0,0","3326,9044735616953","0,0","0,0"
2030-01-05 08:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2804,0203574444286","3,170979198376459","0,0","3382,4938018123266","0,0","0,0"
2030-01-05 09:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2775,467811904351","3,170979198376459","0,0","3353,941256272249","0,0","0,0"
2030-01-05 10:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2703,411262543297","3,170979198376459","0,0","3281,8847069111953","0,0","0,0"
2030-01-05 11:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2707,775511788397","3,170979198376459","0,0","3286,248956156295","0,0","0,0"
2030-01-05 12:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2627,227378998088","3,170979198376459","0,0","3205,7008233659863","0,0","0,0"
2030-01-05 13:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2518,2774223017705","3,170979198376459","0,0","3096,7508666696685","0,0","0,0"
2030-01-05 14:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2498,4054666101547","3,170979198376459","0,0","3076,8789109780528","0,0","0,0"
2030-01-05 15:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2472,2382358327563","3,170979198376459","0,0","3050,711680200654","0,0","0,0"
2030-01-05 16:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2412,300017925256","3,170979198376459","0,0","2990,773462293154","0,0","0,0"
2030-01-05 17:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2423,4244257820537","3,170979198376459","0,0","3001,897870149952","0,0","0,0"
2030-01-05 18:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2361,518803456117","3,170979198376459","0,0","2939,992247824015","0,0","0,0"
2030-01-05 19:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2289,3124974749103","3,170979198376459","0,0","2867,785941842808","0,0","0,0"
2030-01-05 20:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2164,8573631180147","3,170979198376459","0,0","2743,3308074859124","0,0","0,0"
2030-01-05 21:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2086,021287182152","3,170979198376459","0,0","2664,4947315500494","0,0","0,0"
2030-01-05 22:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1958,95782093864","3,170979198376459","0,0","2537,431265306538","0,0","0,0"
2030-01-05 23:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1681,2916481400237","3,170979198376459","0,0","2259,7650925079215","0,0","0,0"
2030-01-06 00:00:00,"0,0","0,0","0,0","0,0","23,019394455350586","1117,667981433033","3,170979198376459","0,0","1143,85835508676","0,0","0,0"
2030-01-06 01:00:00,"0,0","0,0","0,0","0,0","0,0","1142,537174744732","3,170979198376459","0,0","1145,7081539431085","0,0","0,0"
2030-01-06 02:00:00,"0,0","0,0","0,0","0,0","0,0","1166,6002809600795","3,170979198376459","0,0","1169,771260158456","0,0","0,0"
2030-01-06 03:00:00,"0,0","0,0","0,0","0,0","507,1494952598838","1223,922573767716","3,170979198376459","0,0","1734,243048225976","0,0","0,0"
2030-01-06 04:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1433,8655831171152","3,170979198376459","0,0","2012,3390274850133","0,0","0,0"
2030-01-06 05:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1862,120283212153","3,170979198376459","0,0","2440,593727580051","0,0","0,0"
