MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Straße;Hausnummer;Gemarkung;Flurstück;Gemeindeschlüssel;Koordinate: Breitengrad (WGS84);Koordinate: Längengrad (WGS84);Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Name des Windparks;Nabenhöhe der Windenergieanlage;Rotordurchmesser der Windenergieanlage;Hersteller der Windenergieanlage;Typenbezeichnung;Hauptbrennstoff der Einheit;Nutzbare Speicherkapazität in kWh;Technologie der Stromerzeugung;Lage der Einheit;Letzte Aktualisierung;Datum der endgültigen Stilllegung;Datum der geplanten Inbetriebnahme;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Volleinspeisung oder Teileinspeisung;MaStR-Nr. der Genehmigung;Name des Anschluss-Netzbetreibers;MaStR-Nr. des Anschluss-Netzbetreibers;Netzbetreiberprüfung;Spannungsebene;MaStR-Nr. der Lokation;MaStR-Nr. der EEG-Anlage;EEG-Anlagenschlüssel;Inbetriebnahmedatum der EEG-Anlage;Installierte Leistung der EEG-Anlage;Zuschlagnummer (EEG/KWK-Ausschreibung);MaStR-Nr. der KWK-Anlage;Inbetriebnahmedatum der KWK-Anlage;Elektrische KWK-Leistung;Thermische Nutzleistung in kW
SEE945513263095;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,8;25.07.2023;25.07.2023;Thüringen;99098;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);25.07.2023;;;natürliche Person (ABR921844084226);ABR921844084226;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL964937228435;EEG927185284394;;25.07.2023;0,8;;;;;
SEE969853879532;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,8;15.08.2023;16.08.2023;Thüringen;99988;Diedorf;;;;;16064074;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);16.08.2023;;;natürliche Person (ABR909758557012);ABR909758557012;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL932043189285;EEG934195897308;;15.08.2023;0,8;;;;;
SEE998645436110;"Balkonkraftwerk "" Hausdach"" und "" Scheune""";In Betrieb;Solare Strahlungsenergie;1,54;1,2;12.07.2023;25.07.2023;Thüringen;98597;Fambach;;;;;16066022;;;4;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);25.07.2023;;;natürliche Person (ABR927019914091);ABR927019914091;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL946007461133;EEG960990234963;;12.07.2023;1,54;;;;;
SEE964532447781;Balkonkraftwerk Garten;In Betrieb;Solare Strahlungsenergie;0,6;0,6;21.07.2023;25.07.2023;Thüringen;99734;Nordhausen;;;;;16062041;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);25.07.2023;;;natürliche Person (ABR977535849698);ABR977535849698;Teileinspeisung (einschließlich Eigenverbrauch);;Nordhausen Netz GmbH (SNB959176447266);SNB959176447266;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL934903293040;EEG935349607200;;21.07.2023;0,6;;;;;
SEE925113294828;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,3;0,3;10.06.2023;25.07.2023;Thüringen;98529;Suhl;;;;;16054000;;;1;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);24.08.2023;;;natürliche Person (ABR908289075699);ABR908289075699;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL934366806382;EEG919607343697;E43074014020480350000729906300001;10.06.2023;0,3;;;;;
SEE903087234095;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,8;25.07.2023;25.07.2023;Thüringen;99897;Tambach-Dietharz;;;;;16067065;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);25.07.2023;;;natürliche Person (ABR916858958229);ABR916858958229;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL988194379464;EEG965952723158;;25.07.2023;0,8;;;;;
SEE946075615551;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,85;0,6;10.07.2023;25.07.2023;Thüringen;99310;Arnstadt;;;;;16070004;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);08.08.2023;;;natürliche Person (ABR980081787291);ABR980081787291;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Arnstadt Netz GmbH & Co. KG (SNB985993443181);SNB985993443181;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL991671316876;EEG918826912547;E41718012960610880000000000000000;10.07.2023;0,85;;;;;
SEE908175279897;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,85;0,6;10.07.2023;25.07.2023;Thüringen;99310;Arnstadt;;;;;16070004;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);08.08.2023;;;natürliche Person (ABR967159929227);ABR967159929227;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Arnstadt Netz GmbH & Co. KG (SNB985993443181);SNB985993443181;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL929463277623;EEG964408099472;E41718012960610900000000000000000;10.07.2023;0,85;;;;;
SEE984365039434;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;18.06.2023;26.07.2023;Thüringen;99189;Andisleben;;;;;16068002;;;2;nachgeführt;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2023;;;natürliche Person (ABR909322104291);ABR909322104291;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL980573674122;EEG916807772067;;18.06.2023;0,8;;;;;
SEE985825046276;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,74;0,6;06.07.2022;19.07.2023;Thüringen;6577;An der Schmücke;;;;;16065088;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2023;;;natürliche Person (ABR904086021716);ABR904086021716;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL950084200585;EEG941353409723;;06.07.2022;0,74;;;;;
SEE958407908989;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.08.2023;01.08.2023;Thüringen;7745;Jena;;;;;16053000;;;2;Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);01.08.2023;;;natürliche Person (ABR921297120762);ABR921297120762;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Jena Netze GmbH (SNB945861817537);SNB945861817537;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL907089007695;EEG931632560832;;01.08.2023;0,6;;;;;
SEE976202670313;Balkonkraftwerk_1;In Betrieb;Solare Strahlungsenergie;0,6;0,6;23.06.2023;26.07.2023;Thüringen;99326;Stadtilm;;;;;16070048;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2023;;;natürliche Person (ABR927404875563);ABR927404875563;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL984325575934;EEG954924333709;;23.06.2023;0,6;;;;;
SEE917741835337;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;08.08.2023;11.08.2023;Thüringen;99092;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);11.08.2023;;;natürliche Person (ABR959326700616);ABR959326700616;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL953797798776;EEG981896953673;;08.08.2023;0,6;;;;;
SEE955507798830;Balkonkraftwerk D9;In Betrieb;Solare Strahlungsenergie;0,82;0,82;23.07.2023;26.07.2023;Thüringen;99988;Wendehausen;;;;;16064074;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2023;;;natürliche Person (ABR939592449266);ABR939592449266;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL990673171926;EEG969429141766;;23.07.2023;0,82;;;;;
SEE902935985240;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,35;0,35;03.07.2023;26.07.2023;Thüringen;99189;Walschleben;;;;;16068057;;;2;nachgeführt;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2023;;;natürliche Person (ABR941833496090);ABR941833496090;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL929674291296;EEG996327068390;;03.07.2023;0,35;;;;;
SEE983639027979;Balkonkraftwerk;In Planung;Solare Strahlungsenergie;1,245;0,6;;26.07.2023;Thüringen;7749;Jena;;;;;16053000;;;3;Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.07.2023;;14.08.2023;natürliche Person (ABR963919423394);ABR963919423394;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Jena Netze GmbH (SNB945861817537);SNB945861817537;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE901018232066;Balkonkraftwerk 2023;In Betrieb;Solare Strahlungsenergie;0,83;0,6;01.07.2023;27.07.2023;Thüringen;98528;Suhl;;;;;16054000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);16.08.2023;;;natürliche Person (ABR989498229905);ABR989498229905;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL908194156155;EEG995151300867;E43074014094221340000504601300001;01.07.2023;0,83;;;;;
SEE973948734439;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;13.07.2023;27.07.2023;Thüringen;99718;Clingen;;;;711/4;16065012;;;2;Ost-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);27.07.2023;;;natürliche Person (ABR924269121330);ABR924269121330;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL979578003563;EEG986765008102;;13.07.2023;0,8;;;;;
SEE923603814280;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;2,94;1,5;25.08.2023;29.08.2023;Thüringen;37308;Hohes Kreuz;;;;;16061049;;;7;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);29.08.2023;;;natürliche Person (ABR937423253358);ABR937423253358;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL940689567466;EEG985690554906;;25.08.2023;2,94;;;;;
SEE989122656862;Hausdach Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;1;0,6;16.08.2023;17.08.2023;Thüringen;98529;Suhl;;;;;16054000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);17.08.2023;;;natürliche Person (ABR961798559500);ABR961798559500;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL921507650133;EEG923149761956;E4307401402043005A000504831900001;16.08.2023;1;;;;;
SEE971191466794;Balkonkraftwerk 600 WATT;In Betrieb;Solare Strahlungsenergie;0,6;0,6;26.06.2023;27.07.2023;Thüringen;37308;Krombach;;;;;16061062;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);27.07.2023;;;natürliche Person (ABR993730047394);ABR993730047394;Teileinspeisung (einschließlich Eigenverbrauch);;Thüga Energienetze GmbH (SNB990887002092);SNB990887002092;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL987876834208;EEG965225761740;;27.06.2023;0,6;;;;;
SEE986662084766;Balkonkraftwerk Netto;In Betrieb;Solare Strahlungsenergie;0,8;0,6;29.06.2023;27.07.2023;Thüringen;96524;Föritztal;;;;;16072024;;;2;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);27.07.2023;;;natürliche Person (ABR912765421146);ABR912765421146;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL931511137117;EEG989492370696;;29.06.2023;0,8;;;;;
SEE987020887241;Balkonkraftwerk;In Planung;Solare Strahlungsenergie;0,87;0,8;;27.07.2023;Thüringen;7806;Neustadt;;;;;16075073;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);27.07.2023;;01.08.2023;natürliche Person (ABR964802056262);ABR964802056262;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Neustadt an der Orla GmbH (SNB931294328658);SNB931294328658;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE982474297394;Balkonkraftwerk;In Planung;Solare Strahlungsenergie;0,6;0,6;;06.08.2023;Thüringen;99880;Waltershausen;;;;;16067072;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.08.2023;;01.09.2023;natürliche Person (ABR924797432816);ABR924797432816;Teileinspeisung (einschließlich Eigenverbrauch);;Energieversorgung Inselsberg GmbH (SNB974763887737);SNB974763887737;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE923532741312;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,8;18.07.2023;27.07.2023;Thüringen;37327;Leinefelde-Worbis;;;;;16061115;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);27.07.2023;;;natürliche Person (ABR948790500709);ABR948790500709;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL994890436202;EEG921505488813;;18.07.2023;0,8;;;;;
SEE912332333117;Balkonkraftwerk Stadtweg 20 Seebach;In Betrieb;Solare Strahlungsenergie;0,6;0,6;28.07.2023;28.07.2023;Thüringen;99998;Mühlhausen;;;;;16064046;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);28.07.2023;;;Sacher Immobilienmanagement GmbH;ABR998624408541;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL926548539638;EEG995274587343;;28.07.2023;0,6;;;;;
SEE942544473677;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.05.2023;28.07.2023;Thüringen;99092;Erfurt;;;;;16051000;;;4;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);28.07.2023;;;natürliche Person (ABR949286618847);ABR949286618847;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL970518313100;EEG902748731539;;01.05.2023;0,6;;;;;
SEE933488407781;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;30.04.2023;31.07.2023;Thüringen;98693;Ilmenau;;;;;16070029;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);30.08.2023;;;natürliche Person (ABR948525467710);ABR948525467710;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Ilmenau GmbH (SNB964659661008);SNB964659661008;Geprüft;"Niederspannung (= Hausanschluss/Haushaltsstrom); Niederspannung (= Hausanschluss/Haushaltsstrom)";SEL936178803443;EEG973194225491;E4092001Sg15008010000000000000001;30.04.2023;0,6;;;;;
SEE956471763879;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;17.07.2023;28.07.2023;Thüringen;6567;Bad Frankenhausen;;;;;16065003;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);28.08.2023;;;natürliche Person (ABR999621754624);ABR999621754624;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL981518066637;EEG994664912833;E41081010000000000000000000554578;17.07.2023;0,8;;;;;
SEE986482255698;Balkonkraftwerk Scheune;In Betrieb;Solare Strahlungsenergie;0,85;0,8;04.08.2023;26.08.2023;Thüringen;99718;Topfstedt;;;;;16065074;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.08.2023;;;natürliche Person (ABR986871975107);ABR986871975107;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL951674181697;EEG925712124618;;04.08.2023;0,85;;;;;
SEE941982221956;Balkonkraftwerk Koslowski;In Betrieb;Solare Strahlungsenergie;0,82;0,6;09.06.2023;28.07.2023;Thüringen;4626;Dobitschen;;;;;16077003;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);18.08.2023;;;natürliche Person (ABR919705466342);ABR919705466342;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL946960483678;EEG980215301515;E41081010000000000000000000554484;09.06.2023;0,82;;;;;
SEE955545295230;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;28.07.2023;28.07.2023;Thüringen;99100;Döllstädt;;;;;16067011;;;2;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);28.07.2023;;;natürliche Person (ABR960608932465);ABR960608932465;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL981421990760;EEG985431734697;;28.07.2023;0,6;;;;;
SEE968782287456;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,82;0,6;28.07.2023;28.07.2023;Thüringen;99867;Gotha;;;;;16067029;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);14.08.2023;;;natürliche Person (ABR961857916664);ABR961857916664;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Gotha Netz GmbH (SNB961316124487);SNB961316124487;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL985289342891;EEG962625032746;;28.07.2023;0,82;;;;;
SEE968981212334;Balkonkraftwerk 600W;In Betrieb;Solare Strahlungsenergie;0,8;0,6;28.07.2023;28.07.2023;Thüringen;98693;Ilmenau;;;;;16070029;;;2;Ost-West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);28.07.2023;;;natürliche Person (ABR922555568579);ABR922555568579;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL977259523256;EEG995426277344;;28.07.2023;0,8;;;;;
SEE967223492282;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;26.07.2023;28.07.2023;Thüringen;99759;Sollstedt;;;;;16062049;;;2;West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);01.09.2023;;;natürliche Person (ABR960366238687);ABR960366238687;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL929975988383;EEG950049281031;;26.07.2023;0,6;;;;;
SEE976362268207;Balkonkraftwerk300W;In Betrieb;Solare Strahlungsenergie;0,38;0,3;10.03.2023;28.07.2023;Thüringen;7356;Bad Lobenstein;;;;;16075062;;;1;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);28.07.2023;;;natürliche Person (ABR968047619640);ABR968047619640;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL944063706922;EEG929659297237;;10.03.2023;0,38;;;;;
SEE954104335530;Balkonkraftwerk Solakon;In Betrieb;Solare Strahlungsenergie;0,84;0,6;28.07.2023;29.07.2023;Thüringen;6571;Gehofen;;;;;16065019;;;2;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);08.09.2023;;;natürliche Person (ABR920748928964);ABR920748928964;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL952835572125;EEG904441477417;E41081010000000000000000000553308;28.07.2023;0,84;;;;;
SEE984385446908;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,84;0,8;10.03.2023;29.07.2023;Thüringen;37351;Dingelstädt;;;;;16061118;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);29.07.2023;;;natürliche Person (ABR979083284600);ABR979083284600;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL906616100878;EEG904033867695;;10.03.2023;0,84;;;;;
SEE982290408981;Balkonkraftwerk 2 Module;In Betrieb;Solare Strahlungsenergie;0,64;0,64;01.07.2023;29.07.2023;Thüringen;99974;Mühlhausen;;;;;16064046;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);16.08.2023;;;natürliche Person (ABR997495867679);ABR997495867679;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Mühlhausen Netz GmbH (SNB931986174853);SNB931986174853;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL908341180095;EEG905470908439;E4186801EEG0PV2023000000076700001;01.07.2023;0,64;;;;;
SEE941170232191;Mein Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,83;0,8;14.07.2023;29.07.2023;Thüringen;96528;Frankenblick;;;;;16072023;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);29.07.2023;;;natürliche Person (ABR950312061865);ABR950312061865;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL972814910847;EEG902831054040;;14.07.2023;0,83;;;;;
SEE951513749606;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,84;0,8;04.08.2023;18.08.2023;Thüringen;98596;Brotterode-Trusetal;;;;;16066074;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);18.08.2023;;;natürliche Person (ABR987682533104);ABR987682533104;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL984589377596;EEG947065283453;;04.08.2023;0,84;;;;;
SEE983240150363;Balkonkraftwerk;In Planung;Solare Strahlungsenergie;0,6;0,6;;30.07.2023;Thüringen;99091;Erfurt;;;;;16051000;;;1;Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);30.07.2023;;01.08.2023;natürliche Person (ABR935808622010);ABR935808622010;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE988415750737;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.01.2023;30.07.2023;Thüringen;7548;Gera;;;;;16052000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);30.07.2023;;;natürliche Person (ABR916169696414);ABR916169696414;Teileinspeisung (einschließlich Eigenverbrauch);;GeraNetz GmbH (SNB948816192529);SNB948816192529;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL994323588812;EEG935977908861;;01.01.2023;0,6;;;;;
SEE965066775531;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;02.07.2023;30.07.2023;Thüringen;7570;Wünschendorf;;;;;16076084;;;2;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);30.07.2023;;;natürliche Person (ABR982766458137);ABR982766458137;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL918805075416;EEG940213818811;;02.07.2023;0,6;;;;;
SEE903321756994;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,82;0,6;18.06.2023;30.07.2023;Thüringen;4639;Gößnitz;;;;;16077012;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);30.07.2023;;;natürliche Person (ABR910561234663);ABR910561234663;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL912367298306;EEG910442751036;;18.06.2023;0,82;;;;;
