,"(('Import_Oel', 'Oel_Kraftstoffe'), 'flow')","(('Import_Synt', 'Oel_Kraftstoffe'), 'flow')","(('Oel_Kraftstoffe', 'Last_Oel_ges'), 'flow')","(('Oel_Kraftstoffe', 'Last_Verkehr_ges'), 'flow')","(('Oel_Kraftstoffe', 'Materialbedarf_Oel'), 'flow')","(('Oel_Kraftstoffe', 'excess_b_oel_kraftstoffe'), 'flow')","(('PtL', 'Oel_Kraftstoffe'), 'flow')"
2030-01-08 17:00:00,"1350,4455614166714","0,0","250,3087957051586","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 18:00:00,"1351,1543636424558","0,0","251,01759793094308","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 19:00:00,"1349,266739035522","0,0","249,12997332400937","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 20:00:00,"1346,701753618454","0,0","246,56498790694133","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 21:00:00,"1332,6015793099011","0,0","232,46481359838833","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 22:00:00,"1300,7220657531218","0,0","200,58530004160912","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-08 23:00:00,"1265,9917649494105","0,0","165,85499923789774","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 00:00:00,"1321,666887367337","0,0","221,53012165582436","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 01:00:00,"1363,0646208416767","0,0","262,9278551301642","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 02:00:00,"1353,591820907401","0,0","253,45505519588826","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 03:00:00,"1369,1410098732672","0,0","269,0042441617545","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 04:00:00,"1440,55602360444","0,0","340,41925789292725","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 05:00:00,"1565,6144959139513","0,0","465,4777302024385","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 06:00:00,"1494,4639689910475","0,0","394,32720327953484","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 07:00:00,"1507,3422365247932","0,0","407,2054708132804","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 08:00:00,"1477,2577591068589","0,0","377,12099339534626","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 09:00:00,"1469,2084787764188","0,0","369,0717130649062","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 10:00:00,"1434,215366999238","0,0","334,07860128772535","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 11:00:00,"1428,4178621840617","0,0","328,28109647254917","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 12:00:00,"1426,602609122477","0,0","326,4658434109643","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 13:00:00,"1401,1090533167744","0,0","300,9722876052618","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 14:00:00,"1397,3532945464513","0,0","297,2165288349386","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 15:00:00,"1400,6180839779472","0,0","300,4813182664345","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 16:00:00,"1413,1037660161371","0,0","312,96700030462443","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 17:00:00,"1423,4608200006649","0,0","323,32405428915223","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 18:00:00,"1443,730339822456","0,0","343,5935741109432","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 19:00:00,"1453,724473518448","0,0","353,5877078069351","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 20:00:00,"1468,3729750393338","0,0","368,2362093278211","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 21:00:00,"1461,7713109844146","0,0","361,6345452729019","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 22:00:00,"1410,7003965028337","0,0","310,563630791321","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-09 23:00:00,"1366,6830403854656","0,0","266,54627467395295","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-10 00:00:00,"1546,0665572198866","0,0","445,9297915083739","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-10 01:00:00,"1554,2492947900616","0,0","454,11252907854896","970,1266185780778","130,0101471334348","0,0","0,0"
