,"(('BioHolz', 'BioTransformer'), 'flow')","(('BioHolz', 'Biomasse_Strom'), 'flow')","(('BioHolz', 'Biomasse_Waerme'), 'flow')","(('Import_Holz', 'BioHolz'), 'flow')"
2030-01-06 13:00:00,"1367,3349109239225","0,0","0,0","1367,3349109239225"
2030-01-06 14:00:00,"1357,50069383123","0,0","0,0","1357,50069383123"
2030-01-06 15:00:00,"1333,449520275792","0,0","0,0","1333,449520275792"
2030-01-06 16:00:00,"1337,323680720981","0,0","0,0","1337,323680720981"
2030-01-06 17:00:00,"1317,603019028858","0,0","0,0","1317,603019028858"
2030-01-06 18:00:00,"1282,0097020694134","0,0","0,0","1282,0097020694134"
2030-01-06 19:00:00,"1197,107412463828","0,0","0,0","1197,107412463828"
2030-01-06 20:00:00,"1111,1875102632325","0,0","0,0","1111,1875102632325"
2030-01-06 21:00:00,"1021,9964382004438","0,0","0,0","1021,9964382004438"
2030-01-06 22:00:00,"915,0163832265799","0,0","0,0","915,0163832265799"
2030-01-06 23:00:00,"805,2065357556734","0,0","0,0","805,2065357556734"
2030-01-07 00:00:00,"594,276665175291","0,0","0,0","594,276665175291"
2030-01-07 01:00:00,"615,6475786009162","0,0","0,0","615,6475786009162"
2030-01-07 02:00:00,"626,9596667801547","0,0","0,0","626,9596667801547"
2030-01-07 03:00:00,"659,0565637936979","0,0","0,0","659,0565637936979"
2030-01-07 04:00:00,"804,4862331343386","0,0","0,0","804,4862331343386"
2030-01-07 05:00:00,"1050,903908376432","0,0","0,0","1050,903908376432"
2030-01-07 06:00:00,"1214,0290178363152","0,0","0,0","1214,0290178363152"
2030-01-07 07:00:00,"1299,4424394307784","0,0","0,0","1299,4424394307784"
2030-01-07 08:00:00,"1311,1503865859709","0,0","0,0","1311,1503865859709"
2030-01-07 09:00:00,"1241,4925465678612","0,0","0,0","1241,4925465678612"
2030-01-07 10:00:00,"1184,4857114238444","0,0","0,0","1184,4857114238444"
2030-01-07 11:00:00,"1143,5340410987656","0,0","0,0","1143,5340410987656"
2030-01-07 12:00:00,"1108,7385726292905","0,0","0,0","1108,7385726292905"
2030-01-07 13:00:00,"1073,8681923286454","0,0","0,0","1073,8681923286454"
2030-01-07 14:00:00,"1063,3710234224022","0,0","0,0","1063,3710234224022"
2030-01-07 15:00:00,"1038,8714322524033","0,0","0,0","1038,8714322524033"
2030-01-07 16:00:00,"1050,508073990046","0,0","0,0","1050,508073990046"
2030-01-07 17:00:00,"1050,1968916959595","0,0","0,0","1050,1968916959595"
2030-01-07 18:00:00,"1019,8792668361726","0,0","0,0","1019,8792668361726"
2030-01-07 19:00:00,"987,1687798665895","0,0","0,0","987,1687798665895"
2030-01-07 20:00:00,"932,0227510208916","0,0","0,0","932,0227510208916"
2030-01-07 21:00:00,"854,1829027960214","0,0","0,0","854,1829027960214"
2030-01-07 22:00:00,"745,1498943976673","0,0","0,0","745,1498943976673"
2030-01-07 23:00:00,"657,9051033600265","0,0","0,0","657,9051033600265"
2030-01-08 00:00:00,"346,48333165111694","0,0","0,0","346,48333165111694"
2030-01-08 01:00:00,"372,8689428508528","0,0","0,0","372,8689428508528"
2030-01-08 02:00:00,"357,22724075019966","0,0","0,0","357,22724075019966"
2030-01-08 03:00:00,"378,19561686514845","0,0","0,0","378,19561686514845"
2030-01-08 04:00:00,"445,7324931897242","0,0","0,0","445,7324931897242"
