;;Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);Installed Capacity (MW or MWh);;;;;
;;Base Scenario;PV_partial;No Hydro;No Battery;No BtL;No partial import;No Biogas;No Electric Boiler;No Flex tech (B, H2_sto, Sea_Sto);No heat storage;No PtL;No partial wind
GuD;ElectricityIn;0;0;0;0;444,5;421,4205369;0;0;5,603890126;0;133,0862452;0
H2_storage;None;1255000;1255000;1255000;1255000;1255000;1255000;1255000;1255000;0;1255000;1255000;1255000
H2_storage;Hydrogen;983,0030548;983,0030548;983,0030548;983,0030548;983,0030548;983,0030548;983,0030548;983,0030548;0;983,0030548;983,0030548;983,0030548
Heat storage_dist_heat;None;7402,789914;4699,893808;7402,789914;7402,789914;4800,23938;272,5950706;6410,936034;6570,879104;16422,20026;0;10946,58407;3980,669842
Heat storage_dist_heat;District heating;308,4495798;195,8289087;308,4495798;308,4495798;200,0099742;11,35812794;267,1223348;273,7866293;684,258344;0;456,1076695;165,8612434
Heat storage_seasonal;None;564152,8634;713803,3907;564152,8634;564152,8634;467436,1002;268134,7879;500000;0;0;0;723961,9514;677138,8405
Heat storage_seasonal;Preheater;1783,036863;2256,015773;1783,036863;1783,036863;1477,358092;847,4550819;1580,278129;0;0;0;2288,122476;2140,1354
Heatpump_air;District heating;68,49964704;246,3034304;68,49964704;68,49964704;0;0;43,7542682;385,6691454;53,32600714;280,3355576;139,539442;205,1202681
Heatpump_recovery_heat;District heating;0;0;0;0;0;0;0;0;0;0;0;0
Heatpump_water;District heating;0;0;0;0;0;0;0;0;0;0;0;0
Hydro power plant;ElectricityIn;31;31;31;31;31;31;31;31;31;31;31;31
Hös<->HS;ElectricityIn;0;0;0;0;0;0;0;0;0;0;0;0
Hös<->HS;Electricity_Hös;0;0;0;0;0;0;0;0;0;0;0;0
Import_Electricity;Electricity_Hös;3626,9;3628,5;3626,9;3626,9;3587,9;0;3586,8;3584,1;3737,9;3606,2;3727,3;3487,3
Import_Gas;Gas;0;0;0;0;0;0;0;0;0;0;0;0
Import_Hydrogen;Hydrogen;0;0;0;0;0;0;0;0;0;0;0;0
